Date,Open,High,Low,Close,Adj Close,Volume
2002-07-01,27.52,28.129999,27.4,27.99,17.946413,630442.0
2002-07-02,27.99,28.27,27.73,27.969999,17.93359,1007265.0
2002-07-03,27.77,27.98,27.4,27.559999,17.670706,178065.0
2002-07-04,27.530001,27.73,27.469999,27.549999,17.664293,199282.0
2002-07-05,27.469999,27.969999,27.360001,27.57,17.677116,138577.0
2002-07-08,28.0,28.27,27.07,27.780001,17.811766,216457.0
2002-07-09,28.0,28.27,26.950001,27.200001,17.439886,1158427.0
2002-07-10,27.32,27.32,26.700001,26.889999,17.241117,384892.0
2002-07-11,26.870001,26.93,26.370001,26.49,16.984655,1189395.0
2002-07-12,26.469999,26.93,26.41,26.51,16.997478,1100752.0
2002-07-15,26.4,26.530001,26.17,26.389999,16.92053,758595.0
2002-07-16,26.67,26.67,26.15,26.26,16.837179,573555.0
2002-07-17,26.27,26.370001,26.09,26.219999,16.811535,147120.0
2002-07-18,26.01,26.530001,26.01,26.280001,16.850002,112065.0
2002-07-19,26.129999,26.27,25.799999,25.93,16.625597,249975.0
2002-07-22,26.0,26.0,25.27,25.469999,16.33065,341497.0
2002-07-23,25.33,26.530001,24.809999,24.950001,15.997248,457725.0
2002-07-24,24.799999,24.799999,24.530001,24.67,15.817718,298410.0
2002-07-25,25.33,25.33,23.73,24.049999,15.42019,1339500.0
2002-07-26,24.0,24.4,23.27,23.530001,15.086782,1189335.0
2002-07-29,24.27,24.27,23.07,23.280001,14.926486,451492.0
2002-07-30,22.68,23.6,22.68,22.959999,14.721313,899820.0
2002-07-31,22.690001,23.32,22.6,22.66,14.528965,732465.0
2002-08-01,23.200001,23.200001,22.280001,22.59,14.484084,724072.0
2002-08-02,22.440001,22.57,22.15,22.370001,14.343023,465982.0
2002-08-05,22.4,22.67,21.74,21.950001,14.073733,1924500.0
2002-08-06,22.26,22.469999,21.809999,22.290001,14.291728,1673670.0
2002-08-07,22.67,22.93,22.27,22.620001,14.503317,893827.0
2002-08-08,22.799999,22.799999,22.0,22.209999,14.240433,304387.0
2002-08-09,22.09,22.6,21.870001,22.23,14.253263,455310.0
2002-08-12,22.790001,22.790001,22.139999,22.25,14.266085,239220.0
2002-08-13,22.67,22.67,22.27,22.4,14.362257,232672.0
2002-08-14,22.4,22.4,21.549999,22.01,14.282225,532372.0
2002-08-15,22.01,22.01,22.01,22.01,14.282225,0.0
2002-08-16,22.4,22.4,21.950001,21.99,14.269248,960517.0
2002-08-19,22.27,22.309999,22.07,22.129999,14.360094,418350.0
2002-08-20,22.530001,22.530001,21.799999,21.969999,14.25627,1445872.0
2002-08-21,21.879999,22.27,21.879999,22.01,14.282225,2020500.0
2002-08-22,22.129999,22.370001,22.1,22.129999,14.360094,1757707.0
2002-08-23,22.190001,22.23,22.07,22.1,14.340631,616222.0
2002-08-26,22.16,22.16,21.93,21.969999,14.25627,2135955.0
