Date,Open,High,Low,Close,Adj Close,Volume
2002-07-01,63.549999,65.449997,63.549999,64.974998,54.247993,107294.0
2002-07-02,65.0,66.974998,65.0,66.199997,55.270752,224240.0
2002-07-03,66.449997,66.900002,64.550003,64.949997,54.227123,97578.0
2002-07-04,65.400002,66.25,64.824997,65.074997,54.331474,99150.0
2002-07-05,65.5,66.224998,64.550003,65.425003,54.623695,219024.0
2002-07-08,66.25,69.5,65.574997,68.050003,56.815331,619238.0
2002-07-09,69.199997,69.474998,66.425003,66.900002,55.855194,267182.0
2002-07-10,67.224998,67.224998,65.025002,65.150002,54.3941,95100.0
2002-07-11,65.0,65.199997,63.900002,64.525002,53.872288,197056.0
2002-07-12,65.050003,66.125,63.150002,64.025002,53.45483,137764.0
2002-07-15,64.150002,64.150002,61.299999,62.25,51.972881,157412.0
2002-07-16,63.25,63.25,61.5,62.375,52.077236,73214.0
2002-07-17,62.5,62.5,59.849998,60.875,50.82489,131692.0
2002-07-18,61.700001,64.800003,61.25,64.175003,53.580086,174322.0
2002-07-19,64.699997,65.949997,62.75,65.349998,54.561081,293544.0
2002-07-22,62.799999,64.25,62.5,63.799999,53.266979,159256.0
2002-07-23,62.525002,64.449997,62.525002,64.099998,53.517452,87750.0
2002-07-24,63.650002,64.0,61.75,62.325001,52.035488,78882.0
2002-07-25,63.5,64.199997,62.5,63.375,52.912144,120256.0
2002-07-26,63.5,63.5,59.25,59.575001,49.739506,152200.0
2002-07-29,52.525002,60.125,52.525002,54.950001,45.878067,179162.0
2002-07-30,62.549999,62.549999,54.75,56.025002,46.775593,171770.0
2002-07-31,55.099998,55.099998,50.75,51.0,42.580185,315748.0
2002-08-01,52.474998,52.5,49.0,49.625,41.43219,394458.0
2002-08-02,52.5,52.5,47.299999,47.599998,39.741512,178858.0
2002-08-05,48.900002,49.0,47.75,48.099998,40.158958,206692.0
2002-08-06,48.275002,49.0,45.599998,46.950001,39.198822,450892.0
2002-08-07,48.375,51.200001,47.849998,49.950001,41.703533,634818.0
2002-08-08,50.5,52.049999,48.349998,48.849998,40.785126,456654.0
2002-08-09,49.049999,50.325001,48.5,49.325001,41.181725,239952.0
2002-08-12,49.950001,50.700001,49.125,49.674999,41.473938,163646.0
2002-08-13,50.25,50.799999,49.775002,50.099998,41.828773,101280.0
2002-08-14,49.924999,50.5,49.525002,50.200001,41.912254,110996.0
2002-08-15,50.200001,50.200001,50.200001,50.200001,41.912254,0.0
2002-08-16,52.950001,52.950001,50.049999,50.174999,41.891388,110180.0
2002-08-19,50.474998,50.5,49.849998,50.025002,41.766163,87556.0
2002-08-20,50.5,50.75,50.224998,50.424999,42.100105,97342.0
2002-08-21,50.700001,50.799999,49.825001,49.974998,41.724407,115268.0
2002-08-22,50.700001,50.700001,49.0,49.325001,41.181725,60410.0
2002-08-23,49.025002,49.224998,48.25,48.450001,40.45118,83316.0
2002-08-26,48.5,52.924999,48.5,49.775002,41.557426,272426.0
2002-08-27,50.674999,50.674999,48.25,48.525002,40.51379,115742.0
2002-08-28,48.650002,48.950001,47.875,48.400002,40.409443,124822.0
2002-08-29,48.849998,49.950001,47.75,48.075001,40.138088,131684.0
2002-08-30,48.875,48.875,48.0,48.325001,40.346809,151302.0
2002-09-02,48.224998,50.950001,48.224998,49.099998,42.08239,367026.0
2002-09-03,49.375,49.375,48.125,48.299999,41.396729,101302.0
2002-09-04,48.049999,48.75,47.299999,47.849998,41.011044,105816.0
2002-09-05,48.5,49.099998,48.125,48.349998,41.439587,152176.0
2002-09-06,49.0,49.0,47.25,47.474998,40.689644,118270.0
2002-09-09,48.700001,48.700001,46.549999,46.700001,40.025402,55628.0
2002-09-10,46.700001,46.700001,46.700001,46.700001,40.025402,0.0
2002-09-11,47.25,47.700001,47.099998,47.224998,40.475376,100552.0
2002-09-12,47.299999,47.75,46.75,47.549999,40.753925,87496.0
2002-09-13,47.950001,48.5,47.125,47.549999,40.753925,93418.0
2002-09-16,47.200001,47.875,47.200001,47.549999,40.753925,110190.0
2002-09-17,48.0,52.924999,48.0,51.099998,43.796543,1435920.0
2002-09-18,51.125,53.674999,50.375,51.825001,44.417923,2195964.0
2002-09-19,52.450001,52.924999,49.549999,49.924999,42.78949,1080386.0
2002-09-20,49.5,51.525002,48.75,50.724998,43.475143,757652.0
2002-09-23,51.450001,52.299999,50.549999,50.875,43.603699,542178.0
2002-09-24,50.5,50.5,49.25,49.575001,42.489506,253932.0
2002-09-25,49.299999,51.450001,48.549999,50.950001,43.66798,537694.0
2002-09-26,51.950001,51.974998,50.5,50.724998,43.475143,273202.0
2002-09-27,50.75,51.849998,49.900002,51.075001,43.775116,384266.0
2002-09-30,50.049999,51.174999,49.549999,49.849998,42.725201,231938.0
2002-10-01,49.5,50.224998,48.075001,49.174999,42.146667,203808.0
2002-10-02,49.174999,49.174999,49.174999,49.174999,42.146667,0.0
2002-10-03,49.0,49.775002,48.950001,49.25,42.210945,167462.0
2002-10-04,49.0,49.625,48.549999,49.0,41.996689,132824.0
2002-10-07,49.25,49.974998,48.5,49.674999,42.575211,102140.0
2002-10-08,50.0,50.349998,49.549999,49.974998,42.832329,119136.0
2002-10-09,50.25,50.674999,49.375,49.424999,42.360931,102938.0
2002-10-10,49.474998,49.599998,48.25,49.275002,42.23238,72740.0
2002-10-11,49.549999,50.150002,49.375,49.474998,42.403793,67306.0
2002-10-14,49.5,50.0,49.375,49.825001,42.703762,79978.0
2002-10-15,49.825001,49.825001,49.825001,49.825001,42.703762,0.0
2002-10-16,50.625,50.625,48.799999,49.325001,42.27523,98804.0
2002-10-17,49.125,49.5,49.0,49.299999,42.253803,35772.0
2002-10-18,49.25,50.099998,49.25,49.900002,42.768055,81366.0
2002-10-21,50.474998,50.474998,49.0,49.224998,42.189533,133384.0
2002-10-22,49.625,49.724998,49.0,49.5,42.425224,77870.0
2002-10-23,50.0,50.0,49.099998,49.424999,42.360931,38300.0
2002-10-24,49.825001,49.825001,49.5,49.525002,42.446648,69972.0
2002-10-25,49.5,49.674999,48.549999,49.275002,42.23238,86344.0
2002-10-28,49.5,49.924999,48.924999,49.299999,42.253803,72538.0
2002-10-29,49.724998,50.0,49.275002,49.875,42.746624,48496.0
2002-10-30,50.0,51.950001,49.650002,49.849998,42.725201,315510.0
2002-10-31,50.375,50.375,49.275002,49.424999,42.360931,119136.0
2002-11-01,49.900002,49.900002,49.049999,49.549999,42.468075,56124.0
2002-11-04,50.5,50.5,49.349998,49.799999,42.682346,34552.0
2002-11-05,50.349998,50.450001,49.349998,49.525002,42.446648,50606.0
2002-11-06,49.525002,49.525002,49.525002,49.525002,42.446648,0.0
2002-11-07,50.0,50.0,49.25,49.724998,42.618061,87402.0
2002-11-08,49.075001,50.0,49.075001,49.575001,42.489506,69250.0
2002-11-11,49.200001,50.224998,49.200001,49.599998,42.510929,39558.0
2002-11-12,49.525002,49.950001,49.349998,49.474998,42.403793,108712.0
2002-11-13,49.349998,49.674999,49.349998,49.424999,42.360931,79188.0
2002-11-14,49.525002,51.849998,49.525002,49.700001,42.596638,399754.0
2002-11-15,50.0,50.5,49.325001,49.5,42.425224,104742.0
2002-11-18,50.0,50.025002,49.349998,49.724998,42.618061,102794.0
2002-11-19,49.724998,49.724998,49.724998,49.724998,42.618061,0.0
2002-11-20,49.950001,50.25,49.525002,49.674999,42.575211,133820.0
2002-11-21,49.950001,50.200001,49.549999,49.700001,42.596638,131918.0
2002-11-22,49.75,52.549999,49.625,51.674999,44.289364,926580.0
2002-11-25,52.900002,53.724998,51.549999,52.049999,44.61076,571814.0
2002-11-26,52.724998,53.0,51.825001,52.125,44.675041,229058.0
2002-11-27,51.775002,52.275002,50.625,50.875,43.603699,145042.0
2002-11-28,51.75,51.924999,50.625,50.974998,43.689404,120710.0
2002-11-29,52.049999,53.224998,51.775002,52.099998,44.653618,451952.0
2002-12-02,52.75,56.349998,52.75,55.75,47.78194,908158.0
2002-12-03,57.5,57.5,52.75,53.525002,45.874954,533918.0
2002-12-04,54.0,54.700001,53.049999,53.299999,45.682102,194066.0
2002-12-05,53.5,54.75,53.375,53.849998,46.1535,224778.0
2002-12-06,54.700001,54.950001,53.650002,53.900002,46.196354,150182.0
2002-12-09,54.625,57.0,53.775002,54.400002,46.624889,417802.0
2002-12-10,53.0,54.150002,52.575001,53.849998,46.1535,121290.0
2002-12-11,54.424999,54.424999,53.25,53.450001,45.810673,103306.0
2002-12-12,54.0,54.0,52.5,52.700001,45.167862,102888.0
2002-12-13,53.375,55.400002,52.799999,54.349998,46.582035,358674.0
2002-12-16,55.450001,55.450001,53.525002,53.674999,46.003517,196428.0
2002-12-17,53.974998,53.974998,52.549999,52.924999,45.360699,116300.0
2002-12-18,53.200001,53.400002,52.549999,52.799999,45.253567,112920.0
2002-12-19,53.0,53.349998,52.5,52.599998,45.082153,136008.0
2002-12-20,52.950001,53.25,52.0,52.325001,44.846455,152990.0
2002-12-23,52.75,53.700001,52.700001,53.049999,45.467838,118408.0
2002-12-24,53.450001,54.200001,52.849998,53.625,45.960659,117772.0
2002-12-25,53.625,53.625,53.625,53.625,45.960659,0.0
2002-12-26,53.525002,54.424999,53.099998,53.299999,45.682102,128490.0
2002-12-27,53.650002,54.174999,53.150002,53.474998,45.832104,149740.0
2002-12-30,53.325001,53.325001,52.674999,52.875,45.317856,43166.0
2002-12-31,53.0,53.325001,52.424999,52.674999,45.146442,98362.0
2003-01-01,53.049999,53.25,52.75,52.924999,45.360699,58996.0
2003-01-02,53.349998,55.25,52.650002,54.049999,46.324913,279712.0
2003-01-03,55.0,55.049999,54.200001,54.400002,46.624889,219070.0
2003-01-06,54.950001,56.0,54.375,54.900002,47.053429,287006.0
2003-01-07,55.450001,56.0,54.900002,55.625,47.674809,242170.0
2003-01-08,56.5,57.849998,56.325001,57.025002,48.874714,374436.0
2003-01-09,57.0,57.0,56.0,56.349998,48.296185,159622.0
2003-01-10,56.5,56.950001,55.0,55.150002,47.2677,174612.0
2003-01-13,55.924999,55.924999,55.200001,55.349998,47.439106,57008.0
2003-01-14,55.599998,55.950001,54.900002,55.025002,47.160561,49866.0
2003-01-15,55.299999,55.450001,54.599998,55.125,47.246265,76232.0
2003-01-16,55.450001,55.674999,54.875,54.950001,47.096279,66354.0
2003-01-17,55.25,56.299999,55.125,55.400002,47.481972,167780.0
2003-01-20,55.349998,55.5,54.025002,54.275002,46.517761,57566.0
2003-01-21,54.0,56.25,54.0,55.025002,47.160561,135194.0
