Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,5.1,5.18,5.1,5.18,3.704973,82500.0
2000-01-04,5.4,5.51,5.08,5.38,3.848022,494000.0
2000-01-05,5.01,5.42,5.0,5.24,3.747887,383000.0
2000-01-06,5.3,5.3,5.0,5.11,3.654906,164500.0
2000-01-07,5.0,5.22,4.8,4.86,3.476094,149000.0
2000-01-10,5.15,5.24,5.0,5.01,3.583382,214000.0
2000-01-11,5.0,5.1,4.62,4.76,3.404569,174000.0
2000-01-12,4.74,4.9,4.72,4.78,3.418875,85000.0
2000-01-13,4.8,4.9,4.7,4.72,3.37596,75500.0
2000-01-14,4.63,4.72,4.6,4.68,3.34735,83000.0
2000-01-17,5.0,5.05,5.0,5.05,3.611991,258500.0
2000-01-18,5.3,5.3,4.95,5.03,3.597686,249500.0
2000-01-19,5.2,5.2,5.0,5.1,3.647753,126000.0
2000-01-20,5.1,5.18,4.8,4.86,3.476094,197000.0
2000-01-21,4.8,5.0,4.8,4.98,3.561924,270500.0
2000-01-24,5.1,5.36,4.98,5.04,3.604838,381000.0
2000-01-25,4.98,5.1,4.94,4.96,3.547619,305500.0
2000-01-26,4.96,4.96,4.96,4.96,3.547619,0.0
2000-01-27,4.9,5.35,4.9,5.32,3.805108,391000.0
2000-01-28,5.51,5.74,5.4,5.74,4.10551,338000.0
2000-01-31,6.18,6.19,6.18,6.19,4.427372,372500.0
2000-02-01,6.58,6.68,6.58,6.68,4.777842,72000.0
2000-02-02,7.21,7.21,7.21,7.21,5.156921,26500.0
2000-02-03,7.78,7.78,7.78,7.78,5.564612,71000.0
2000-02-04,8.4,8.4,8.4,8.4,6.008064,90500.0
2000-02-07,9.07,9.07,7.86,7.95,5.686203,2919500.0
2000-02-08,8.2,8.4,7.5,7.74,5.536002,1300000.0
2000-02-09,7.91,7.96,7.13,7.37,5.271361,641500.0
2000-02-10,7.62,7.95,7.3,7.95,5.686203,1025000.0
2000-02-11,8.54,8.58,8.2,8.3,5.936539,3139500.0
2000-02-14,8.96,8.96,7.64,7.64,5.464477,1199500.0
2000-02-15,7.4,7.58,7.07,7.17,5.128312,755000.0
2000-02-16,7.2,7.74,7.2,7.66,5.478782,328500.0
2000-02-17,7.8,7.86,7.46,7.5,5.364343,282000.0
2000-02-18,7.4,7.55,6.91,7.05,5.042483,448500.0
2000-02-21,7.49,7.6,7.1,7.19,5.142617,360500.0
2000-02-22,7.44,7.5,6.7,6.92,4.949502,331500.0
2000-02-23,6.78,7.14,6.6,6.74,4.820756,227500.0
2000-02-24,6.8,7.27,6.6,7.27,5.199837,367000.0
2000-02-25,7.82,7.84,7.05,7.83,5.600374,681000.0
2000-02-28,8.45,8.45,7.6,7.94,5.679051,812000.0
2000-02-29,8.39,8.4,7.32,7.32,5.235599,1267500.0
2000-03-01,7.55,7.9,7.2,7.9,5.650442,358000.0
2000-03-02,8.0,8.1,7.42,7.47,5.342885,401500.0
2000-03-03,7.3,7.38,6.88,7.08,5.06394,505000.0
2000-03-06,7.6,7.6,6.86,6.99,4.999567,258500.0
2000-03-07,7.1,7.1,6.52,6.69,4.784995,338500.0
2000-03-08,6.6,6.7,6.16,6.16,4.405914,281000.0
2000-03-09,5.81,6.09,5.67,5.67,4.055443,197500.0
2000-03-10,5.35,5.7,5.22,5.7,4.0769,427000.0
2000-03-13,6.02,6.15,5.3,5.53,3.955309,230255.0
2000-03-14,5.6,5.97,5.54,5.96,4.262865,241300.0
2000-03-15,5.74,6.1,5.74,5.96,4.262865,151005.0
2000-03-16,5.86,6.42,5.71,6.07,4.341541,543925.0
2000-03-17,6.07,6.07,6.07,6.07,4.341541,0.0
2000-03-20,6.07,6.07,6.07,6.07,4.341541,0.0
2000-03-21,5.7,6.55,5.7,6.32,4.520352,119000.0
2000-03-22,6.4,6.46,6.2,6.38,4.563268,150505.0
2000-03-23,6.5,6.54,6.01,6.23,4.45598,158000.0
2000-03-24,6.1,6.38,6.0,6.11,4.370152,338495.0
2000-03-27,6.58,6.58,6.14,6.2,4.434523,116500.0
2000-03-28,6.37,6.6,6.12,6.6,4.720621,95125.0
