Date,Open,High,Low,Close,Adj Close,Volume
2002-07-01,8.279301,8.310194,8.134722,8.270651,5.883313,235952.0
2002-07-02,8.270651,8.341087,8.208865,8.332437,5.927266,173017.0
2002-07-03,8.310194,8.433766,8.295365,8.396694,5.972976,89017.0
2002-07-04,8.520266,8.641366,8.344794,8.44983,6.010773,119218.0
2002-07-05,8.495552,8.514087,8.37198,8.41523,5.986159,50788.0
2002-07-08,8.375687,8.542509,8.297837,8.347266,5.937814,84129.0
2002-07-09,8.514087,8.680909,8.155729,8.45848,6.016925,181408.0
2002-07-10,8.557337,8.635188,8.495552,8.53633,6.072306,101099.0
2002-07-11,8.526444,8.58823,8.464659,8.542509,6.076702,94916.0
2002-07-12,8.50173,8.526444,8.347266,8.517794,6.059119,63299.0
2002-07-15,8.495552,8.548687,8.295365,8.520266,6.060877,106666.0
2002-07-16,8.375687,8.514087,8.365801,8.45848,6.016925,212953.0
2002-07-17,8.462187,8.526444,8.32008,8.507909,6.052087,151175.0
2002-07-18,8.526444,8.530152,8.421409,8.511616,6.054724,64925.0
2002-07-19,8.464659,8.464659,8.390516,8.400401,5.975612,36658.0
2002-07-22,8.279301,8.402873,8.155729,8.375687,5.95803,163378.0
2002-07-23,7.6219,8.526444,7.6219,8.427587,5.994949,145284.0
2002-07-24,8.28548,8.489373,8.28548,8.44983,6.010773,90320.0
2002-07-25,8.402873,8.464659,8.316373,8.332437,5.927266,260302.0
2002-07-26,8.279301,8.279301,8.124837,8.221222,5.848154,211933.0
2002-07-29,8.110008,8.155729,7.974079,8.100122,5.762009,242102.0
2002-07-30,8.128544,8.155729,8.093944,8.134722,5.786623,93735.0
2002-07-31,8.192801,8.192801,7.951836,8.087765,5.753218,175023.0
2002-08-01,8.112479,8.155729,7.951836,8.038336,5.718057,67555.0
2002-08-02,7.955543,8.153258,7.908586,8.091472,5.755857,111805.0
2002-08-05,8.137194,8.221222,8.035865,8.19033,5.826179,37419.0
2002-08-06,8.122365,8.279301,8.100122,8.270651,5.883313,44897.0
2002-08-07,8.196508,8.37198,8.196508,8.332437,5.927266,47195.0
2002-08-08,8.264473,8.341087,8.180444,8.264473,5.87892,109644.0
2002-08-09,8.186622,8.402873,8.124837,8.326258,5.92287,84881.0
2002-08-12,8.402873,8.446123,8.295365,8.390516,5.96858,24382.0
2002-08-13,8.357151,8.388044,8.165615,8.258294,5.874525,20239.0
2002-08-14,8.23358,8.332437,8.217515,8.307723,5.909686,31730.0
2002-08-15,8.307723,8.307723,8.307723,8.307723,5.909686,0.0
2002-08-16,8.208865,8.365801,8.208865,8.326258,5.92287,111336.0
2002-08-19,8.341087,8.341087,8.221222,8.24223,5.863098,23751.0
2002-08-20,8.32008,8.32008,8.236051,8.270651,5.883313,44565.0
2002-08-21,8.19033,8.310194,8.159437,8.264473,5.87892,32806.0
2002-08-22,8.27683,8.295365,8.211337,8.270651,5.883313,107022.0
2002-08-23,8.279301,8.310194,8.186622,8.221222,5.848154,22577.0
2002-08-26,8.19033,8.341087,8.032158,8.087765,5.753218,43343.0
2002-08-27,8.079115,8.124837,8.032158,8.050694,5.726849,32046.0
2002-08-28,8.056872,8.072936,7.939479,7.980258,5.676744,18596.0
2002-08-29,7.970372,8.093944,7.908586,7.918472,5.632792,30160.0
2002-08-30,7.92465,7.955543,7.887579,7.937008,5.645978,35987.0
2002-09-02,7.939479,8.106301,7.939479,7.995086,5.687293,26591.0
2002-09-03,7.908586,8.044515,7.8814,8.019801,5.704874,23063.0
2002-09-04,7.970372,8.056872,7.920943,7.955543,5.659163,19583.0
2002-09-05,8.032158,8.032158,7.862865,7.943186,5.650373,11863.0
2002-09-06,7.908586,7.955543,7.8468,7.862865,5.593237,25021.0
2002-09-09,7.83815,7.937008,7.723229,7.871515,5.59939,42186.0
2002-09-10,7.871515,7.871515,7.871515,7.871515,5.59939,0.0
2002-09-11,7.723229,7.723229,7.6219,7.655264,5.78875,38066.0
2002-09-12,7.723229,7.723229,7.63055,7.649086,5.784079,46790.0
2002-09-13,7.482264,7.747943,7.482264,7.612014,5.756045,77655.0
2002-09-16,7.612014,7.612014,7.445192,7.485971,5.660733,15529.0
2002-09-17,7.531693,7.593478,7.414299,7.455078,5.637372,39531.0
2002-09-18,7.506978,7.513157,7.263542,7.303085,5.522438,44460.0
2002-09-19,7.275899,7.321621,7.06212,7.201756,5.445816,25612.0
2002-09-20,7.074477,7.337685,7.043584,7.232649,5.469175,49598.0
2002-09-23,7.350042,7.399471,7.167156,7.220292,5.459833,18653.0
2002-09-24,7.170863,7.216585,7.136263,7.177042,5.427128,12268.0
2002-09-25,7.109077,7.173335,7.080656,7.154799,5.410309,30508.0
2002-09-26,7.123906,7.214113,7.10537,7.111549,5.377603,11288.0
2002-09-27,7.10537,7.177042,7.065827,7.154799,5.410309,18515.0
2002-09-30,7.290728,7.290728,7.074477,7.154799,5.410309,34271.0
2002-10-01,7.167156,7.167156,6.981799,7.031227,5.316866,25863.0
2002-10-02,7.031227,7.031227,7.031227,7.031227,5.316866,0.0
2002-10-03,7.164685,7.164685,7.043584,7.05347,5.333685,9549.0
2002-10-04,7.10537,7.127613,6.991684,7.05347,5.333685,25410.0
2002-10-07,7.10537,7.19187,7.043584,7.109077,5.375735,27344.0
2002-10-08,7.167156,7.167156,7.115256,7.154799,5.410309,17115.0
2002-10-09,7.10537,7.216585,7.049763,7.072006,5.347702,14857.0
2002-10-10,6.864406,7.133792,6.864406,7.121435,5.38508,10285.0
2002-10-11,6.926191,7.074477,6.926191,7.043584,5.326209,20522.0
2002-10-14,7.111549,7.111549,7.043584,7.047292,5.329014,7623.0
2002-10-15,7.047292,7.047292,7.047292,7.047292,5.329014,0.0
2002-10-16,7.047292,7.111549,6.858227,7.065827,5.343029,20619.0
2002-10-17,7.016399,7.117727,7.012692,7.06212,5.340226,20125.0
2002-10-18,6.861934,7.214113,6.800148,7.154799,5.410309,29561.0
2002-10-21,6.997863,7.290728,6.997863,7.059649,5.338357,8383.0
2002-10-22,7.028756,7.10537,7.025049,7.055942,5.335556,19090.0
2002-10-23,7.10537,7.167156,7.012692,7.090542,5.361718,29966.0
2002-10-24,7.167156,7.167156,6.88912,6.979327,5.27762,24803.0
2002-10-25,6.800148,7.099192,6.800148,6.981799,5.27949,28550.0
2002-10-28,6.954613,7.012692,6.895298,7.000334,5.293505,27854.0
2002-10-29,6.92372,7.074477,6.920013,7.055942,5.335556,32127.0
