Date,Open,High,Low,Close,Adj Close,Volume
2002-07-01,70.400002,71.474998,70.050003,70.449997,51.252811,51318.0
2002-07-02,70.525002,71.150002,69.25,69.724998,50.725357,130628.0
2002-07-03,69.949997,71.275002,69.300003,69.775002,50.761734,84620.0
2002-07-04,70.0,70.300003,69.5,69.525002,50.579842,48636.0
2002-07-05,70.75,70.75,69.5,69.525002,50.579842,86260.0
2002-07-08,70.5,72.5,70.0,71.099998,51.725677,168204.0
2002-07-09,71.0,72.199997,70.025002,70.25,51.107304,71802.0
2002-07-10,70.5,70.5,69.400002,69.824997,50.798092,71942.0
2002-07-11,70.25,70.25,69.275002,69.474998,50.543476,41892.0
2002-07-12,69.5,70.449997,69.25,69.849998,50.816284,42490.0
2002-07-15,71.5,72.449997,70.074997,71.949997,52.344059,175378.0
2002-07-16,71.949997,72.5,70.75,71.074997,51.707493,117466.0
2002-07-17,70.75,71.0,69.824997,70.125,51.016354,70776.0
2002-07-18,70.050003,71.474998,70.050003,70.949997,51.616547,41178.0
2002-07-19,70.550003,71.625,70.0,70.349998,51.180042,56048.0
2002-07-22,70.0,70.474998,69.875,70.125,51.016354,66966.0
2002-07-23,70.0,70.449997,70.0,70.150002,51.034546,49306.0
2002-07-24,70.0,70.324997,69.324997,69.974998,50.907227,95986.0
2002-07-25,72.449997,72.5,69.074997,69.974998,50.907227,52596.0
2002-07-26,70.199997,70.199997,69.0,69.400002,50.488914,83598.0
2002-07-29,69.300003,69.75,66.75,68.25,49.65229,95712.0
2002-07-30,69.25,69.25,66.75,66.875,48.651962,107696.0
2002-07-31,67.5,68.375,66.0,66.849998,48.633766,92320.0
2002-08-01,67.5,68.699997,67.025002,67.425003,49.052101,28946.0
2002-08-02,66.800003,68.150002,66.275002,67.099998,48.815659,26878.0
2002-08-05,67.5,67.699997,66.800003,67.425003,49.052101,25344.0
2002-08-06,67.0,67.375,66.599998,66.974998,48.724716,36222.0
2002-08-07,67.449997,67.900002,66.574997,66.75,48.561031,77190.0
2002-08-08,67.0,67.0,66.75,66.875,48.651962,31530.0
2002-08-09,66.5,67.5,65.625,67.400002,49.033905,46346.0
2002-08-12,67.050003,67.5,67.050003,67.275002,48.942966,22110.0
2002-08-13,67.125,68.0,66.75,67.574997,49.161213,28252.0
2002-08-14,67.0,67.900002,63.5,67.099998,48.815659,31026.0
2002-08-15,67.099998,67.099998,67.099998,67.099998,48.815659,0.0
2002-08-16,67.300003,67.75,67.0,67.324997,48.979324,25524.0
2002-08-19,67.25,67.724998,66.675003,67.5,49.106655,22056.0
2002-08-20,67.5,67.599998,67.25,67.375,49.015705,21878.0
2002-08-21,66.25,67.925003,66.125,67.099998,48.815659,21746.0
2002-08-22,67.25,67.25,66.574997,66.699997,48.524647,30964.0
2002-08-23,66.800003,67.449997,66.800003,67.125,48.833839,29186.0
2002-08-26,67.25,67.5,66.75,67.224998,48.906578,25266.0
2002-08-27,67.425003,68.599998,67.25,68.375,49.743217,54562.0
2002-08-28,68.150002,69.75,68.150002,68.75,50.016037,49886.0
2002-08-29,69.224998,69.224998,67.375,68.099998,49.543156,58072.0
2002-08-30,68.5,68.5,67.75,68.300003,49.688663,21416.0
2002-09-02,68.5,69.275002,67.875,68.224998,49.634098,64030.0
2002-09-03,67.525002,69.349998,67.525002,68.099998,49.543156,23782.0
2002-09-04,67.875,68.0,67.525002,67.775002,49.306725,15044.0
2002-09-05,67.775002,68.474998,67.525002,67.75,49.288532,44252.0
2002-09-06,67.974998,68.224998,67.550003,67.724998,49.270344,25488.0
2002-09-09,67.525002,67.699997,67.375,67.525002,49.12484,21456.0
2002-09-10,67.525002,67.525002,67.525002,67.525002,49.12484,0.0
2002-09-11,67.525002,67.849998,67.449997,67.574997,49.161213,44496.0
2002-09-12,67.324997,67.75,67.300003,67.625,49.197582,41270.0
2002-09-13,67.400002,67.625,67.400002,67.525002,49.12484,18374.0
2002-09-16,67.5,67.5,66.849998,66.974998,48.724716,35248.0
2002-09-17,67.0,67.125,66.625,66.925003,48.688343,16260.0
2002-09-18,66.75,67.150002,66.5,66.849998,48.633766,36406.0
2002-09-19,66.974998,67.0,66.349998,66.824997,48.615585,32840.0
2002-09-20,67.5,67.5,66.074997,66.400002,48.306385,23048.0
