Date,Open,High,Low,Close,Adj Close,Volume
2002-07-01,8.61,8.675,8.535,8.585,6.49164,2331240.0
2002-07-02,8.575,8.615,8.525,8.585,6.49164,925272.0
2002-07-03,8.585,8.64,8.54,8.585,6.49164,1304064.0
2002-07-04,8.66,8.665,8.54,8.56,6.472737,1589202.0
2002-07-05,8.635,9.0,8.565,8.815,6.665556,3139716.0
2002-07-08,9.25,9.435,9.0,9.2,6.956677,3198990.0
2002-07-09,9.325,9.325,8.935,8.985,6.794105,1227414.0
2002-07-10,9.115,9.335,8.815,8.91,6.737391,2063592.0
2002-07-11,8.95,8.95,8.79,8.815,6.665556,833010.0
2002-07-12,9.0,9.0,8.735,8.785,6.642872,731904.0
2002-07-15,8.815,8.815,8.6,8.625,6.521885,447222.0
2002-07-16,8.665,8.665,8.535,8.56,6.472737,563910.0
2002-07-17,8.54,8.575,8.385,8.41,6.35931,1429992.0
2002-07-18,8.515,8.54,8.415,8.49,6.419804,647460.0
2002-07-19,8.565,8.565,8.415,8.465,6.400899,600246.0
2002-07-22,8.5,8.5,8.015,8.09,6.11734,1284174.0
2002-07-23,8.09,8.335,7.815,7.99,6.041724,909546.0
2002-07-24,7.96,8.04,7.84,7.96,6.019038,856566.0
2002-07-25,8.035,8.275,8.035,8.135,6.151367,546036.0
2002-07-26,8.05,8.16,7.865,7.965,6.02282,789396.0
2002-07-29,8.06,8.21,7.66,7.765,5.871588,503064.0
2002-07-30,7.835,8.085,7.61,7.665,5.795971,533520.0
2002-07-31,7.835,7.835,7.525,7.74,5.852683,794052.0
2002-08-01,7.76,8.04,7.685,7.95,6.011476,604092.0
2002-08-02,7.665,8.04,7.665,7.975,6.030382,304596.0
2002-08-05,8.085,8.485,7.96,8.135,6.151367,457794.0
2002-08-06,8.035,8.165,8.01,8.115,6.136244,339018.0
2002-08-07,8.175,8.25,8.05,8.175,6.181614,457122.0
2002-08-08,8.1,8.15,7.715,7.81,5.905615,794556.0
2002-08-09,7.875,8.085,7.79,8.06,6.094654,264414.0
2002-08-12,8.085,8.125,7.94,8.01,6.056847,172794.0
2002-08-13,7.985,8.3,7.94,8.175,6.181614,375816.0
2002-08-14,8.0,8.165,8.0,8.09,6.11734,238728.0
2002-08-15,8.09,8.09,8.09,8.09,6.11734,0.0
