Date,Open,High,Low,Close,Adj Close,Volume
2003-03-12,7.75,9.195,7.75,8.8125,7.476559,24669040.0
2003-03-13,8.7,9.3325,8.7,9.0,7.635632,23553560.0
2003-03-14,9.0,9.0,9.0,9.0,7.635632,0.0
2003-03-17,9.0,9.0,8.3825,8.55,7.253852,3533080.0
2003-03-18,8.55,8.55,8.55,8.55,7.253852,0.0
2003-03-19,8.7,8.945,8.635,8.8375,7.497767,2137240.0
2003-03-20,8.79,9.56,8.75,9.1775,7.786223,8665540.0
2003-03-21,9.15,9.59,9.15,9.2775,7.871068,4546980.0
2003-03-24,9.75,10.29,9.575,10.0725,8.545546,15818280.0
2003-03-25,10.02,11.1,9.84,10.9,9.2476,31668880.0
2003-03-26,10.94,11.59,10.85,10.985,9.319715,33125460.0
2003-03-27,11.0025,11.08,10.25,10.37,8.797947,20628560.0
2003-03-28,10.25,12.0425,10.25,11.7225,9.945413,53603440.0
2003-03-31,11.4,11.7375,10.85,10.9575,9.296386,30536520.0
2003-04-01,11.2,11.915,11.0475,11.5375,9.788456,24699800.0
2003-04-02,11.695,11.8975,11.525,11.79,10.002681,11719560.0
2003-04-03,11.905,12.185,11.75,11.8175,10.02601,11939360.0
2003-04-04,11.805,11.92,11.65,11.6825,9.911474,6654500.0
2003-04-07,11.75,11.9625,11.7175,11.81,10.019649,5479520.0
2003-04-08,11.75,13.04,11.75,12.525,10.626255,25894860.0
2003-04-09,12.5525,13.1925,12.5525,12.7825,10.844721,14023080.0
2003-04-10,12.9,12.9,12.1,12.19,10.342042,5010260.0
2003-04-11,12.225,12.695,12.05,12.405,10.524447,2732600.0
2003-04-14,12.405,12.405,12.405,12.405,10.524447,0.0
2003-04-15,12.7,13.75,12.6275,12.8075,10.865931,5449060.0
2003-04-16,12.975,13.1,12.4575,12.5975,10.687766,3303560.0
2003-04-17,12.7,12.75,12.175,12.3025,10.437487,4404860.0
2003-04-18,12.3025,12.3025,12.3025,12.3025,10.437487,0.0
2003-04-21,12.5,12.6875,12.2125,12.2675,10.407793,2083740.0
2003-04-22,12.335,12.925,12.01,12.815,10.872293,10753540.0
2003-04-23,12.985,13.1925,12.7,12.9925,11.022884,8406660.0
2003-04-24,13.15,13.15,12.7575,12.8225,10.878656,3004880.0
2003-04-25,12.8825,12.99,12.4,12.755,10.82139,2550300.0
2003-04-28,12.8,13.465,12.575,13.2925,11.277407,6320860.0
2003-04-29,13.35,14.165,13.35,13.8825,11.777966,19040060.0
2003-04-30,13.775,14.75,13.75,14.5125,12.312457,13973620.0
2003-05-01,14.5125,14.5125,14.5125,14.5125,12.312457,0.0
2003-05-02,14.795,15.07,14.3075,14.48,12.284884,17681420.0
2003-05-05,14.6375,14.79,13.655,13.9325,11.820385,9284660.0
2003-05-06,14.095,14.685,14.0,14.41,12.225498,9803840.0
2003-05-07,14.6,14.785,14.2525,14.33,12.157627,8567560.0
2003-05-08,14.25,14.47,13.915,13.9925,11.871289,5121320.0
2003-05-09,14.095,14.285,13.86,14.0875,11.951888,6113440.0
2003-05-12,14.25,14.7,14.1025,14.4525,12.261554,7107040.0
2003-05-13,14.55,14.685,14.095,14.18,12.030366,5071980.0
2003-05-14,14.2825,14.44,14.175,14.27,12.106721,3553000.0
2003-05-15,13.9,15.9975,12.6,15.835,13.434472,27435860.0
2003-05-16,16.025,16.735001,15.85,16.0825,13.644454,20487660.0
2003-05-19,16.0075,16.334999,15.355,15.5525,13.194799,8121920.0
2003-05-20,15.4825,16.75,15.45,16.577499,14.064411,17828120.0
2003-05-21,16.65,16.985001,15.905,16.040001,13.608397,10381920.0
2003-05-22,16.25,16.75,15.8,16.555,14.045323,16159880.0
2003-05-23,16.9,18.450001,16.227501,18.067499,15.328532,34957540.0
2003-05-26,18.25,18.8375,17.549999,18.497499,15.693345,14667880.0
