Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,4.8,4.885,4.8,4.885,2.911016,41000.0
2000-01-04,5.2,5.275,5.015,5.14,3.062971,491000.0
2000-01-05,5.5,5.555,5.105,5.555,3.310274,478000.0
2000-01-06,5.975,6.0,5.73,6.0,3.575453,1062000.0
2000-01-07,6.4,6.48,6.01,6.465,3.852551,1155000.0
2000-01-10,6.795,6.85,6.15,6.55,3.903203,1071000.0
2000-01-11,6.28,6.4,6.03,6.16,3.670798,1077000.0
2000-01-12,6.2,6.525,6.115,6.395,3.810837,622000.0
2000-01-13,6.5,6.6,6.045,6.125,3.649942,833000.0
2000-01-14,6.49,6.495,6.03,6.235,3.715492,361000.0
2000-01-17,6.4,6.735,6.4,6.525,3.888305,1141000.0
2000-01-18,6.555,6.65,6.25,6.555,3.906183,756000.0
2000-01-19,6.7,6.75,6.41,6.605,3.935977,581000.0
2000-01-20,6.6,6.7,6.16,6.24,3.718472,309000.0
2000-01-21,6.115,6.39,6.11,6.325,3.769123,215000.0
2000-01-24,6.2,6.2,5.85,5.99,3.569495,379000.0
2000-01-25,5.71,5.85,5.605,5.695,3.393701,402000.0
2000-01-26,5.695,5.695,5.695,5.695,3.393701,0.0
2000-01-27,5.795,5.795,5.6,5.705,3.39966,284000.0
2000-01-28,5.6,5.695,5.51,5.54,3.301335,156000.0
2000-01-31,5.41,5.53,5.1,5.155,3.07191,127000.0
2000-02-01,4.91,5.28,4.91,5.14,3.062971,275000.0
2000-02-02,5.49,5.555,5.3,5.555,3.310274,565000.0
2000-02-03,5.55,6.0,5.55,5.885,3.506924,162000.0
2000-02-04,6.1,6.36,6.05,6.36,3.789981,553000.0
2000-02-07,6.4,6.4,6.01,6.045,3.60227,210000.0
2000-02-08,5.6,6.0,5.6,5.735,3.417538,216000.0
2000-02-09,5.995,5.995,5.415,5.525,3.292397,195000.0
2000-02-10,5.75,5.77,5.4,5.655,3.369865,97000.0
2000-02-11,5.435,5.65,5.43,5.5,3.277499,39000.0
2000-02-14,5.3,5.4,5.11,5.24,3.122562,65000.0
2000-02-15,5.1,5.3,4.85,4.91,2.925913,175000.0
2000-02-16,5.2,5.2,4.53,4.55,2.711386,346000.0
2000-02-17,4.64,4.9,4.62,4.65,2.770976,308000.0
2000-02-18,4.57,4.77,4.51,4.59,2.735221,146000.0
2000-02-21,4.45,4.67,4.4,4.58,2.729262,150000.0
2000-02-22,4.59,4.6,4.35,4.465,2.660733,226000.0
2000-02-23,4.8,4.8,4.31,4.31,2.568367,255000.0
2000-02-24,4.1,4.46,3.97,4.075,2.428328,156000.0
2000-02-25,4.1,4.2,3.87,4.075,2.428328,115000.0
2000-02-28,4.0,4.4,4.0,4.36,2.598163,161000.0
2000-02-29,4.6,4.6,4.1,4.11,2.449186,237000.0
2000-03-01,4.3,4.365,4.1,4.245,2.529633,141000.0
2000-03-02,4.125,4.25,4.1,4.165,2.481961,165000.0
2000-03-03,4.4,4.4,3.96,4.125,2.458123,170000.0
2000-03-06,4.195,4.195,3.795,3.795,2.261474,194000.0
2000-03-07,3.52,3.69,3.495,3.495,2.082701,150000.0
2000-03-08,3.25,3.45,3.215,3.235,1.927765,281000.0
2000-03-09,3.335,3.35,2.98,3.115,1.856256,284000.0
2000-03-10,3.005,3.285,3.005,3.115,1.856256,92000.0
2000-03-13,3.245,3.245,2.9,3.06,1.823481,192000.0
2000-03-14,3.16,3.16,2.9,2.96,1.76389,319000.0
2000-03-15,3.2,3.2,3.2,3.2,1.906909,15000.0
2000-03-16,3.455,3.46,3.455,3.46,2.061845,121000.0
2000-03-17,3.46,3.46,3.46,3.46,2.061845,0.0
2000-03-20,3.46,3.46,3.46,3.46,2.061845,0.0
2000-03-21,3.49,3.74,3.49,3.74,2.228699,207000.0
2000-03-22,3.9,4.04,3.9,4.04,2.407472,15000.0
2000-03-23,4.36,4.365,4.0,4.18,2.490899,275000.0
2000-03-24,4.15,4.15,3.85,4.06,2.41939,82750.0
2000-03-27,4.1,4.3,4.1,4.155,2.476002,97850.0
2000-03-28,4.255,4.255,4.0,4.07,2.425349,213500.0
2000-03-29,4.3,4.3,4.075,4.1,2.443226,68000.0
2000-03-30,4.09,4.18,3.855,4.0,2.383636,60010.0
2000-03-31,4.115,4.32,3.9,4.26,2.538572,36990.0
2000-04-03,4.2,4.3,4.195,4.235,2.523674,79500.0
2000-04-04,4.2,4.2,3.9,3.9,2.324044,81100.0
2000-04-05,3.9,4.075,3.7,3.81,2.270413,58500.0
2000-04-06,3.855,3.9,3.515,3.715,2.213801,315750.0
2000-04-07,3.725,4.015,3.725,4.015,2.392574,60500.0
2000-04-10,3.94,4.15,3.94,4.08,2.431308,41030.0
2000-04-11,3.92,4.1,3.9,4.055,2.41641,84190.0
2000-04-12,4.075,4.3,4.0,4.2,2.502817,103000.0
2000-04-13,4.11,4.25,4.105,4.12,2.455144,38690.0
2000-04-14,4.12,4.12,4.12,4.12,2.455144,0.0
2000-04-17,4.1,4.195,3.88,4.17,2.48494,37350.0
2000-04-18,4.15,4.38,4.15,4.315,2.571347,61230.0
2000-04-19,4.35,4.64,4.2,4.365,2.601142,78000.0
2000-04-20,4.265,4.27,4.125,4.245,2.529633,48310.0
2000-04-21,4.245,4.245,4.245,4.245,2.529633,0.0
2000-04-24,4.3,4.3,3.91,3.97,2.365757,89300.0
2000-04-25,3.85,3.975,3.8,3.97,2.365757,60090.0
2000-04-26,3.965,4.1,3.965,4.025,2.398533,133500.0
2000-04-27,4.235,4.235,3.975,3.98,2.371717,38040.0
2000-04-28,3.91,3.915,3.715,3.795,2.381129,61490.0
2000-05-01,3.795,3.795,3.795,3.795,2.381129,0.0
2000-05-02,3.8,3.8,3.57,3.645,2.287014,110560.0
2000-05-03,3.405,3.5,3.4,3.455,2.1678,43150.0
2000-05-04,3.45,3.695,3.45,3.595,2.255641,31000.0
2000-05-05,3.735,3.745,3.615,3.695,2.318385,30500.0
2000-05-08,3.59,3.8,3.535,3.8,2.384266,23000.0
2000-05-09,3.74,3.9,3.665,3.8,2.384266,33150.0
2000-05-10,3.735,3.83,3.735,3.785,2.374854,25010.0
2000-05-11,3.79,3.9,3.715,3.815,2.393677,21010.0
2000-05-12,3.845,3.935,3.7,3.79,2.377992,40000.0
2000-05-15,3.75,3.9,3.6,3.845,2.412501,41150.0
2000-05-16,3.8,3.975,3.715,3.815,2.393677,157050.0
2000-05-17,4.0,4.0,3.7,3.71,2.327796,27410.0
2000-05-18,3.7,3.79,3.7,3.7,2.321522,5500.0
2000-05-19,3.8,3.8,3.65,3.7,2.321522,8200.0
