Date,Open,High,Low,Close,Adj Close,Volume
2002-07-01,1.646,1.646,1.606,1.61,1.300494,13593600.0
2002-07-02,1.643,1.643,1.501,1.597,1.289993,13536000.0
2002-07-03,1.643,1.643,1.622,1.624,1.311803,12928000.0
2002-07-04,1.625,1.625,1.501,1.569,1.267376,16505600.0
2002-07-05,1.641,1.641,1.563,1.563,1.262529,14464000.0
2002-07-08,1.643,1.643,1.579,1.584,1.279492,16492800.0
2002-07-09,1.641,1.641,1.6,1.63,1.316649,18873600.0
2002-07-10,1.641,1.668,1.625,1.668,1.347344,18457600.0
2002-07-11,1.685,1.688,1.588,1.588,1.282723,23718400.0
2002-07-12,1.646,1.646,1.613,1.613,1.302917,13120000.0
2002-07-15,1.65,1.65,1.572,1.609,1.299686,13664000.0
2002-07-16,1.613,1.613,1.578,1.61,1.300494,13536000.0
2002-07-17,1.646,1.687,1.576,1.584,1.279492,13824000.0
2002-07-18,1.624,1.625,1.6,1.625,1.31261,13504000.0
2002-07-19,1.625,1.625,1.6,1.625,1.31261,13248000.0
2002-07-22,1.65,1.65,1.525,1.541,1.244758,17408000.0
2002-07-23,1.625,1.625,1.525,1.528,1.234258,18912000.0
2002-07-24,1.659,1.659,1.563,1.584,1.279492,12992000.0
2002-07-25,1.588,1.588,1.575,1.575,1.272222,12832000.0
2002-07-26,1.65,1.65,1.559,1.563,1.262529,13152000.0
2002-07-29,1.625,1.625,1.5,1.531,1.236681,13568000.0
2002-07-30,1.625,1.625,1.5,1.514,1.222949,14784000.0
2002-07-31,1.625,1.625,1.556,1.562,1.261721,13004800.0
2002-08-01,1.624,1.624,1.551,1.553,1.254451,14611200.0
2002-08-02,1.62,1.62,1.525,1.6,1.292417,14886400.0
2002-08-05,1.625,1.625,1.563,1.619,1.307764,13939200.0
2002-08-06,1.625,1.625,1.588,1.625,1.31261,12960000.0
2002-08-07,1.624,1.624,1.588,1.622,1.310187,13088000.0
2002-08-08,1.624,1.624,1.564,1.569,1.267376,40160000.0
2002-08-09,1.624,1.624,1.475,1.581,1.303021,13824000.0
2002-08-12,1.623,1.623,1.575,1.608,1.325274,12940800.0
2002-08-13,1.622,1.622,1.575,1.619,1.33434,6528000.0
2002-08-14,1.62,1.623,1.581,1.623,1.337637,12928000.0
2002-08-15,1.623,1.623,1.623,1.623,1.337637,0.0
2002-08-16,1.624,1.624,1.584,1.606,1.323626,12992000.0
2002-08-19,1.625,1.625,1.575,1.581,1.303021,12864000.0
2002-08-20,1.619,1.619,1.569,1.588,1.308791,12934400.0
2002-08-21,1.625,1.625,1.588,1.594,1.313735,12864000.0
2002-08-22,1.625,1.625,1.55,1.55,1.277472,12960000.0
2002-08-23,1.624,1.624,1.575,1.579,1.301373,12960000.0
2002-08-26,1.624,1.624,1.576,1.597,1.316208,13753600.0
2002-08-27,1.563,1.617,1.55,1.601,1.319505,14854400.0
2002-08-28,1.624,1.624,1.513,1.563,1.288186,14489600.0
2002-08-29,1.623,1.623,1.545,1.563,1.288186,13248000.0
2002-08-30,1.624,1.624,1.519,1.575,1.298076,13030400.0
2002-09-02,1.619,1.619,1.563,1.563,1.288186,12876800.0
2002-09-03,1.613,1.613,1.526,1.538,1.267582,14758400.0
2002-09-04,1.625,1.625,1.538,1.55,1.277472,13043200.0
2002-09-05,1.613,1.613,1.563,1.613,1.329395,12940800.0
2002-09-06,1.594,1.594,1.525,1.526,1.257692,14124800.0
2002-09-09,1.624,1.624,1.513,1.513,1.246977,13024000.0
2002-09-10,1.513,1.513,1.513,1.513,1.246977,0.0
2002-09-11,1.588,1.588,1.531,1.559,1.284889,13568000.0
2002-09-12,1.594,1.594,1.569,1.569,1.293131,12864000.0
2002-09-13,1.624,1.624,1.525,1.544,1.272527,13568000.0
2002-09-16,1.613,1.613,1.55,1.553,1.279944,12864000.0
2002-09-17,1.55,1.561,1.475,1.544,1.272527,13568000.0
2002-09-18,1.588,1.588,1.516,1.516,1.24945,12979200.0
2002-09-19,1.55,1.55,1.5,1.544,1.272527,12960000.0
2002-09-20,1.544,1.544,1.513,1.513,1.246977,13337600.0
2002-09-23,1.6,1.6,1.5,1.501,1.237087,13600000.0
2002-09-24,1.563,1.563,1.475,1.475,1.215659,13958400.0
