Date,Open,High,Low,Close,Adj Close,Volume
2017-09-27,651.099976,694.0,638.650024,681.200012,666.703979,34610637
2017-09-28,671.150024,689.950012,660.049988,685.900024,671.304016,4535542
2017-09-29,685.0,687.700012,677.650024,680.200012,665.725403,1367676
2017-10-03,677.099976,688.450012,674.099976,684.5,669.933838,1752630
2017-10-04,681.5,686.849976,679.75,681.700012,667.19342,545357
2017-10-05,676.099976,680.950012,665.150024,666.200012,652.023254,486144
2017-10-06,665.0,680.5,663.0,680.0,665.529541,568793
2017-10-09,670.0,686.0,670.0,683.950012,669.395447,647645
2017-10-10,680.0,690.0,680.0,686.450012,671.842285,750266
2017-10-11,683.599976,689.900024,683.599976,687.450012,672.820984,351011
2017-10-12,682.200012,702.0,682.200012,700.349976,685.446472,938808
2017-10-13,693.200012,701.0,693.200012,695.049988,680.259277,239411
2017-10-16,691.549988,697.5,674.25,696.150024,681.335938,237478
2017-10-17,695.0,719.900024,690.200012,718.25,702.965637,962237
2017-10-18,711.25,720.799988,703.799988,715.25,700.02948,338460
2017-10-19,709.599976,723.0,708.049988,722.200012,706.831604,154703
2017-10-23,710.0,715.0,690.0,693.099976,678.350769,450439
2017-10-24,693.150024,705.0,685.299988,696.200012,681.384888,643340
2017-10-25,696.200012,699.950012,675.549988,683.299988,668.759277,1108214
2017-10-26,679.099976,690.0,679.099976,684.950012,671.110901,221326
2017-10-27,682.0,685.0,679.049988,682.900024,669.102417,342918
2017-10-30,679.900024,686.0,675.75,680.200012,666.456909,287901
2017-10-31,675.150024,689.0,674.5,677.0,663.321533,949376
2017-11-01,677.0,686.0,676.900024,680.599976,666.848694,200249
2017-11-02,675.150024,689.0,675.0,681.0,667.240723,234604
2017-11-03,681.0,689.5,671.0,674.599976,660.969849,302434
2017-11-06,671.0,684.25,671.0,681.150024,667.387573,186130
2017-11-07,680.0,682.950012,679.200012,680.299988,666.55481,171495
2017-11-08,674.099976,682.5,674.099976,678.799988,665.085144,105538
2017-11-09,675.299988,681.0,667.650024,678.799988,665.085144,120713
2017-11-10,670.0,680.950012,670.0,680.299988,666.55481,114509
2017-11-13,680.5,687.0,676.200012,685.450012,671.600708,274626
2017-11-14,676.0,690.0,676.0,686.0,672.139648,208105
2017-11-15,677.099976,688.0,677.099976,686.400024,672.531555,439900
2017-11-16,682.5,685.950012,670.0,677.75,664.056213,164254
2017-11-17,681.0,689.0,676.25,685.599976,671.747742,212775
2017-11-20,683.0,692.0,680.25,689.450012,675.52002,189081
2017-11-21,684.5,707.900024,684.5,699.049988,684.925964,337085
2017-11-22,696.0,701.0,690.0,695.900024,681.8396,68032
2017-11-23,694.0,708.0,685.950012,701.0,686.836548,91465
2017-11-24,693.0,702.0,693.0,700.099976,685.954773,163475
2017-11-27,692.599976,703.0,692.599976,700.599976,686.444641,66789
2017-11-28,695.049988,713.5,695.049988,706.049988,691.784607,229161
2017-11-29,700.5,726.049988,697.099976,718.950012,704.42395,405626
2017-11-30,711.200012,717.400024,706.099976,714.349976,699.916809,73339
2017-12-01,710.0,723.5,710.0,719.950012,705.403748,143549
2017-12-04,712.0,724.5,712.0,720.75,706.187561,120194
2017-12-05,715.299988,729.950012,708.099976,727.349976,712.654175,157420
2017-12-06,725.0,729.0,715.150024,726.650024,711.968384,101857
2017-12-07,726.0,745.0,718.5,735.150024,720.296509,174841
2017-12-08,731.0,769.0,731.0,765.75,750.27832,727030
2017-12-11,762.0,770.0,750.0,764.700012,749.249512,157528
2017-12-12,762.0,790.950012,762.0,784.299988,768.453552,261948
2017-12-13,790.0,790.0,768.650024,775.099976,759.439392,140986
2017-12-14,772.0,781.0,772.0,777.150024,761.447998,305401
2017-12-15,778.0,794.700012,777.099976,790.799988,774.822144,179103
2017-12-18,780.799988,802.0,750.049988,800.0,783.836365,325541
2017-12-19,795.0,810.0,785.5,796.299988,780.21106,105430
2017-12-20,790.5,797.650024,771.400024,776.299988,760.615173,110134
2017-12-21,778.0,785.0,765.0,775.200012,759.537476,160212
2017-12-22,775.0,788.0,768.0,777.349976,761.643921,1273767
2017-12-26,773.150024,789.599976,773.150024,786.400024,770.511108,209738
2017-12-27,786.0,790.0,775.549988,781.25,765.465149,124036
2017-12-28,776.200012,795.0,776.200012,792.25,776.24292,73414
2017-12-29,792.0,795.799988,765.549988,775.5,759.831299,101722
2018-01-01,775.0,798.0,775.0,795.5,779.427307,161859
2018-01-02,787.099976,805.0,775.0,800.049988,783.885193,221601
2018-01-03,796.0,804.0,786.200012,800.299988,784.130188,61608
2018-01-04,800.049988,809.5,793.650024,807.450012,791.135864,76967
2018-01-05,802.099976,824.950012,801.799988,822.049988,805.440796,93994
2018-01-08,822.0,850.0,815.049988,847.950012,830.817444,391458
2018-01-09,839.0,839.0,776.0,785.599976,769.727234,600903
2018-01-10,777.0,794.799988,777.0,778.0,762.280884,156240
2018-01-11,780.0,798.0,777.650024,790.25,774.283325,118785
2018-01-12,793.849976,798.849976,780.299988,790.299988,774.332275,130779
2018-01-15,788.450012,800.049988,770.099976,788.75,772.813538,139302
2018-01-16,800.0,844.799988,790.0,811.200012,794.809937,1216523
2018-01-17,815.25,872.0,815.25,850.049988,832.875061,1536781
2018-01-18,849.0,864.450012,830.099976,843.5,826.457458,504528
2018-01-19,835.25,837.5,815.0,827.599976,810.878662,110733
2018-01-22,822.049988,857.849976,816.0,853.599976,836.353271,269449
2018-01-23,849.0,852.150024,826.0,831.450012,814.65094,231215
2018-01-24,830.0,843.0,825.0,836.650024,819.745789,86293
2018-01-25,825.5,839.900024,815.0,828.849976,812.103394,59682
2018-01-29,822.599976,850.0,816.099976,823.900024,807.253479,119794
2018-01-30,824.0,825.5,791.0,803.049988,786.824707,242129
2018-01-31,795.099976,805.0,783.099976,786.900024,771.000977,255762
2018-02-01,788.0,839.0,788.0,833.650024,816.806458,1190501
2018-02-02,813.049988,838.400024,788.0,819.849976,803.285278,561787
2018-02-05,800.0,823.400024,770.0,815.700012,799.219116,115787
2018-02-06,750.0,820.0,749.299988,807.049988,790.743835,124842
2018-02-07,808.049988,821.5,805.900024,818.700012,802.158508,61961
2018-02-08,819.049988,827.0,806.0,809.650024,793.291321,106731
2018-02-09,800.0,820.0,795.049988,816.099976,799.610962,186837
2018-02-12,813.549988,826.900024,813.549988,823.25,806.616577,614870
2018-02-14,812.200012,822.599976,807.299988,815.099976,798.631165,268375
2018-02-15,818.0,820.0,795.0,803.25,787.020691,399369
2018-02-16,803.25,819.5,803.25,815.200012,798.729248,281637
2018-02-19,804.700012,820.5,804.700012,819.299988,802.746399,108433
2018-02-20,816.0,825.400024,810.049988,819.900024,803.33429,74057
2018-02-21,816.0,822.450012,810.0,814.849976,798.38623,69462
2018-02-22,810.200012,820.0,800.099976,809.150024,792.801453,82208
2018-02-23,810.0,826.450012,810.0,820.700012,804.117981,170633
2018-02-26,813.049988,824.0,805.5,818.799988,802.256531,127924
2018-02-27,812.0,820.0,811.0,816.0,799.513062,108531
2018-02-28,816.0,818.5,785.0,794.799988,778.741333,250592
2018-03-01,800.25,809.849976,785.0,787.650024,771.735901,113061
2018-03-05,785.0,794.950012,773.0,780.599976,764.828247,255494
2018-03-06,781.299988,795.950012,781.299988,794.5,778.447571,329751
2018-03-07,787.450012,794.049988,786.799988,790.049988,774.08728,284060
2018-03-08,790.299988,804.25,790.299988,800.799988,784.620178,452558
2018-03-09,803.0,822.0,799.599976,812.900024,796.475769,359829
2018-03-12,805.200012,821.549988,803.650024,816.900024,800.394897,555337
2018-03-13,820.799988,836.150024,808.849976,827.700012,810.976624,749989
2018-03-14,819.400024,825.0,803.0,806.400024,790.106995,256334
2018-03-15,800.0,813.5,795.099976,799.849976,783.689331,98117
2018-03-16,806.299988,810.0,762.799988,771.25,755.667175,1956405
2018-03-19,771.0,795.0,765.849976,770.5,754.932373,134624
2018-03-20,769.900024,778.900024,747.650024,757.75,742.439941,510135
2018-03-21,758.049988,760.099976,730.099976,731.349976,716.573364,920575
2018-03-22,734.650024,739.799988,718.0,727.299988,712.605225,353510
2018-03-23,720.0,746.0,707.200012,741.150024,726.175354,165426
2018-03-26,740.299988,767.5,740.299988,762.549988,747.142944,220976
2018-03-27,760.049988,799.0,760.0,793.549988,777.516663,192715
2018-03-28,793.549988,799.0,788.0,793.849976,777.810669,199358
2018-04-02,789.0,795.0,775.549988,783.950012,768.110596,140932
2018-04-03,770.0,794.549988,765.900024,789.950012,773.98938,99682
2018-04-04,780.0,793.450012,775.549988,781.200012,765.416199,120689
2018-04-05,782.0,791.5,782.0,789.049988,773.107544,165785
2018-04-06,790.0,804.700012,782.299988,797.549988,781.435791,216310
2018-04-09,791.0,798.0,740.0,767.700012,752.188904,323739
2018-04-10,778.700012,790.0,770.049988,782.0,766.200012,107713
2018-04-11,781.0,785.0,770.049988,771.450012,755.863098,65768
2018-04-12,770.0,777.700012,763.0,765.549988,750.082336,227585
2018-04-13,760.0,788.0,760.0,780.099976,764.338318,87476
2018-04-16,770.0,788.900024,770.0,779.5,763.75061,56132
2018-04-17,779.900024,784.0,763.0,765.650024,750.180359,123909
2018-04-18,766.0,779.900024,766.0,773.5,757.871643,88243
2018-04-19,770.5,780.049988,766.0,773.599976,757.969727,137570
2018-04-20,778.799988,778.799988,762.150024,770.200012,754.638428,181761
2018-04-23,769.950012,770.0,756.5,760.349976,744.987366,148848
2018-04-24,771.900024,775.049988,760.099976,773.200012,757.577881,141005
2018-04-25,775.0,776.5,762.0,774.049988,758.410583,224505
2018-04-26,778.799988,779.799988,751.0,754.599976,739.353638,346044
2018-04-27,750.0,763.0,739.950012,752.950012,737.736938,153180
2018-04-30,752.950012,767.0,750.849976,759.900024,744.546509,305316
2018-05-02,752.200012,762.700012,735.099976,743.950012,728.918945,413463
2018-05-03,740.0,749.950012,734.0,738.25,723.333923,58750
2018-05-04,740.0,748.0,712.0,719.849976,705.305786,99620
2018-05-07,723.5,738.0,721.700012,733.299988,718.483948,92582
2018-05-08,735.0,755.950012,730.599976,752.799988,737.590027,187341
2018-05-09,746.0,754.900024,738.5,748.400024,733.278931,92821
2018-05-10,750.25,760.0,745.349976,750.049988,734.89563,137555
2018-05-11,746.049988,759.599976,746.049988,754.099976,738.863708,83363
2018-05-14,755.0,755.599976,748.0,749.799988,734.650574,42616
2018-05-15,741.099976,749.150024,725.25,728.549988,713.829895,57951
2018-05-16,730.650024,739.700012,726.0,733.849976,719.022766,39390
2018-05-17,732.0,737.450012,726.099976,730.049988,715.299683,43438
2018-05-18,731.799988,739.0,725.0,731.900024,717.112244,303556
2018-05-21,725.0,735.950012,725.0,735.25,720.394531,58719
2018-05-22,731.5,738.0,726.049988,731.900024,717.112244,60260
2018-05-23,726.349976,736.5,726.349976,733.200012,718.385986,123476
2018-05-24,730.5,752.099976,730.5,749.5,734.356628,160188
2018-05-25,744.0,750.599976,734.0,748.900024,733.768799,100093
2018-05-28,744.0,755.0,723.0,739.349976,724.411682,304865
2018-05-29,736.299988,740.599976,722.549988,736.450012,721.570435,196068
2018-05-30,735.5,754.599976,731.0,741.400024,726.420288,241201
2018-05-31,732.25,774.700012,720.5,754.400024,739.157715,300052
2018-06-01,746.0,746.0,721.0,724.0,709.371948,153948
2018-06-04,728.799988,733.0,716.0,726.549988,711.8703,89448
2018-06-05,725.0,740.0,716.299988,736.299988,721.42334,58852
2018-06-06,730.450012,737.0,723.150024,727.150024,712.458313,29429
2018-06-07,729.299988,739.0,723.549988,729.849976,715.103638,55894
2018-06-08,726.0,735.0,724.0,729.650024,714.907715,25366
2018-06-11,729.0,735.0,726.299988,733.049988,718.239075,29888
2018-06-12,729.0,735.599976,729.0,730.150024,715.397583,31205
2018-06-13,731.0,734.25,721.0,724.650024,710.008789,988721
2018-06-14,720.049988,728.5,708.0,722.849976,708.245117,1047318
2018-06-15,722.849976,726.849976,708.049988,722.25,707.657166,165408
2018-06-18,717.0,723.0,712.0,715.950012,701.484619,86041
2018-06-19,711.0,725.849976,710.0,717.599976,703.101196,264191
2018-06-20,717.5,741.900024,715.0,734.700012,719.855652,241185
2018-06-21,739.0,739.0,730.099976,735.0,720.149658,63628
2018-06-22,735.0,735.0,724.200012,728.5,713.780945,38435
2018-06-25,721.200012,728.799988,710.0,716.049988,701.58252,103517
2018-06-26,708.0,734.950012,708.0,722.25,707.657166,69680
2018-06-27,720.0,724.200012,706.0,710.099976,695.752625,25085
2018-06-28,708.200012,710.0,690.700012,696.900024,682.819397,94157
2018-06-29,692.599976,711.0,683.5,696.75,682.672546,106403
2018-07-02,693.5,711.400024,688.0,707.900024,693.597168,193616
2018-07-03,705.0,726.200012,689.549988,720.599976,706.040588,53274
2018-07-04,720.0,721.0,707.0,719.400024,707.318726,63088
2018-07-05,715.0,715.049988,700.0,703.400024,691.587463,46243
2018-07-06,700.0,732.799988,695.549988,717.349976,705.303101,136471
2018-07-09,714.0,722.200012,700.099976,702.150024,690.358582,47187
2018-07-10,701.5,707.400024,695.150024,701.849976,690.063477,53366
2018-07-11,698.0,704.599976,695.0,699.75,687.998657,43770
2018-07-12,697.0,715.0,697.0,711.200012,699.256409,56607
2018-07-13,707.0,744.0,707.0,718.299988,706.237244,294880
2018-07-16,722.0,723.650024,705.0,715.150024,703.140137,36162
2018-07-17,711.0,753.700012,706.0,738.75,726.34375,320964
2018-07-18,736.849976,759.0,731.5,750.700012,738.093201,489674
2018-07-19,743.0,779.0,743.0,763.150024,750.334045,1500165
2018-07-20,762.0,798.0,752.549988,778.650024,765.573853,700202
2018-07-23,765.0,797.950012,765.0,783.049988,769.899719,655129
2018-07-24,771.5,798.849976,771.5,792.900024,779.584534,331356
2018-07-25,792.5,799.0,782.049988,791.599976,778.306274,330842
2018-07-26,783.099976,800.0,780.0,782.25,769.113342,250885
2018-07-27,784.900024,788.099976,780.0,781.299988,768.179199,71116
2018-07-30,776.0,782.849976,756.049988,761.75,748.957581,92235
2018-07-31,761.0,792.0,758.599976,777.700012,764.639709,167653
2018-08-01,781.900024,781.900024,760.0,771.950012,758.986267,190171
2018-08-02,768.0,799.0,749.099976,786.799988,773.586914,81711
2018-08-03,787.0,794.0,780.099976,786.25,773.046082,30915
2018-08-06,788.0,793.099976,775.099976,780.799988,767.687683,129376
2018-08-07,771.0,783.0,758.150024,766.150024,753.283691,107308
2018-08-08,765.0,777.950012,763.0,770.099976,757.167175,147761
2018-08-09,780.0,785.0,773.150024,779.950012,766.851929,114753
2018-08-10,776.0,795.0,776.0,790.849976,777.568848,200441
2018-08-13,781.0,785.900024,768.299988,774.25,761.24762,113838
2018-08-14,779.950012,785.0,772.0,780.650024,767.540161,361138
2018-08-16,780.0,794.099976,770.299988,789.5,776.241577,200207
2018-08-17,782.0,815.0,780.150024,801.450012,787.990784,528688
2018-08-20,805.0,807.450012,794.049988,802.0,788.531677,244382
2018-08-21,800.0,801.950012,791.099976,793.450012,780.125244,46796
2018-08-23,785.299988,785.599976,753.0,755.450012,742.763428,180248
2018-08-24,746.049988,778.599976,725.5,745.5,732.980469,127932
2018-08-27,750.0,784.0,741.0,778.450012,765.377136,102730
2018-08-28,773.0,786.5,755.0,761.799988,749.006714,115049
2018-08-29,767.849976,797.150024,767.799988,793.25,779.928467,115631
2018-08-30,794.0,799.799988,778.049988,795.0,781.64917,219997
2018-08-31,795.0,823.950012,783.5,795.849976,782.484863,259691
2018-09-03,801.799988,822.0,795.25,802.349976,788.875671,135424
2018-09-04,797.0,816.75,790.0,804.650024,791.137146,93712
2018-09-05,800.0,846.0,799.950012,829.700012,815.766479,665235
2018-09-06,833.849976,856.0,833.849976,853.049988,838.724304,977868
2018-09-07,854.700012,888.799988,832.049988,875.5,860.797302,1026914
2018-09-10,875.5,932.400024,875.5,914.150024,898.798279,2041503
2018-09-11,908.900024,912.099976,890.200012,898.700012,883.607727,1382106
2018-09-12,904.0,915.400024,882.0,896.5,881.44458,129734
2018-09-14,897.0,931.0,897.0,921.400024,905.926453,440605
2018-09-17,920.0,929.900024,879.0,887.5,872.595825,188808
2018-09-18,883.0,887.849976,862.799988,874.200012,859.519104,370166
