Date,Open,High,Low,Close,Adj Close,Volume
2003-12-26,18.4,39.939999,18.4,23.879999,17.896296,99224725.0
2003-12-29,24.870001,28.66,24.02,28.6,21.433586,76012820.0
2003-12-30,29.049999,33.0,29.049999,30.18,22.617678,101253950.0
2003-12-31,30.540001,31.860001,29.02,29.610001,22.190502,65094260.0
2004-01-01,30.4,30.780001,29.440001,30.129999,22.580208,37308910.0
2004-01-02,30.379999,30.48,29.41,29.629999,22.205496,26065415.0
2004-01-05,29.76,29.93,27.42,27.549999,20.646688,35686095.0
2004-01-06,27.74,27.74,24.43,24.780001,18.570776,44506885.0
2004-01-07,25.0,26.440001,24.0,25.809999,19.342688,55632045.0
2004-01-08,26.34,26.870001,26.1,26.540001,19.889765,20995245.0
2004-01-09,27.0,27.540001,25.620001,25.76,19.305216,20757510.0
2004-01-12,25.92,25.940001,25.01,25.209999,18.893032,15500490.0
2004-01-13,25.25,25.68,24.6,24.73,18.53331,13202745.0
2004-01-14,24.82,25.27,24.620001,24.719999,18.525812,7474150.0
2004-01-15,24.959999,25.559999,24.5,24.690001,18.50333,14424575.0
2004-01-16,24.780001,24.799999,22.84,22.959999,17.20682,12832555.0
2004-01-19,23.18,23.27,21.620001,22.549999,16.899561,15126735.0
2004-01-20,22.76,23.799999,22.1,22.290001,16.70471,14100410.0
2004-01-21,22.4,22.4,19.629999,19.99,14.981026,17729600.0
2004-01-22,20.02,20.76,19.34,19.700001,14.763695,17520245.0
2004-01-23,20.02,21.469999,19.700001,21.059999,15.782915,14163640.0
2004-01-26,21.059999,21.059999,21.059999,21.059999,15.782915,0.0
2004-01-27,21.6,22.0,21.040001,21.879999,16.397442,9310320.0
2004-01-28,22.049999,22.129999,20.68,20.9,15.663005,8245250.0
2004-01-29,21.0,21.0,20.4,20.540001,15.393215,5994150.0
2004-01-30,20.66,20.74,19.799999,19.940001,14.943555,5279255.0
2004-02-02,19.940001,19.940001,19.940001,19.940001,14.943555,0.0
2004-02-03,20.139999,20.139999,18.15,18.34,13.744474,8097995.0
2004-02-04,18.4,18.559999,17.719999,17.91,13.422219,16758175.0
2004-02-05,18.0,19.110001,17.91,18.139999,13.59459,19562600.0
2004-02-06,18.25,18.440001,18.040001,18.32,13.729484,8195870.0
2004-02-09,18.48,18.6,18.299999,18.5,13.864384,6076345.0
2004-02-10,18.620001,19.26,18.549999,18.889999,14.156657,13556325.0
