Date,Open,High,Low,Close,Adj Close,Volume
2002-07-01,18.5,18.9,18.299999,18.6,13.725763,84409.0
2002-07-02,18.6,19.0,18.5,18.65,13.762664,34616.0
2002-07-03,18.65,19.0,17.65,17.950001,13.246102,89445.0
2002-07-04,18.25,18.35,17.9,18.0,13.282998,58765.0
2002-07-05,17.85,18.200001,17.65,18.1,13.356794,30847.0
2002-07-08,18.25,18.85,18.25,18.549999,13.688868,60407.0
2002-07-09,18.6,18.85,18.299999,18.549999,13.688868,50930.0
2002-07-10,18.9,18.9,18.200001,18.25,13.467484,42355.0
2002-07-11,18.0,18.4,17.9,18.0,13.282998,26325.0
2002-07-12,18.0,18.0,17.5,17.65,13.024715,32957.0
2002-07-15,17.35,17.799999,17.049999,17.15,12.655744,34568.0
2002-07-16,17.0,17.549999,17.0,17.299999,12.766438,31833.0
2002-07-17,17.4,17.4,17.0,17.049999,12.58195,22651.0
2002-07-18,17.200001,17.25,16.799999,16.85,12.434363,11050.0
2002-07-19,16.799999,17.15,16.700001,17.0,12.545054,11950.0
2002-07-22,16.4,16.75,16.15,16.299999,12.028492,31590.0
2002-07-23,16.200001,16.450001,16.0,16.15,11.917803,39520.0
2002-07-24,15.8,16.25,15.8,16.0,11.80711,24985.0
2002-07-25,16.6,16.6,16.1,16.35,12.06539,24071.0
2002-07-26,16.4,16.4,15.8,15.85,11.696417,64231.0
2002-07-29,15.85,15.9,15.5,15.8,11.65952,52025.0
2002-07-30,17.0,17.0,15.7,16.0,11.80711,31304.0
2002-07-31,15.95,16.5,15.6,15.9,11.733315,27554.0
2002-08-01,16.5,16.5,16.0,16.1,11.880903,23971.0
2002-08-02,16.0,16.200001,15.9,16.0,11.80711,33639.0
2002-08-05,16.200001,16.450001,16.15,16.4,12.102286,41042.0
2002-08-06,16.6,16.6,16.25,16.35,12.06539,8592.0
2002-08-07,16.75,16.75,16.4,16.450001,12.139185,24862.0
2002-08-08,16.450001,16.65,16.049999,16.1,11.880903,24957.0
2002-08-09,16.200001,16.200001,15.85,15.95,11.77021,8215.0
2002-08-12,15.8,16.299999,15.8,16.15,11.917803,16159.0
