Date,Open,High,Low,Close,Adj Close,Volume
2016-07-21,667.0,710.0,666.0,697.599976,638.241089,11824029
2016-07-22,700.0,708.700012,696.200012,700.0,640.437012,820402
2016-07-25,701.0,701.0,692.0,693.049988,634.078308,260240
2016-07-26,694.900024,701.5,690.0,692.150024,633.255005,312995
2016-07-27,692.099976,697.650024,687.049988,689.900024,631.196411,168708
2016-07-28,691.599976,697.0,677.849976,679.900024,622.047241,375033
2016-07-29,690.0,700.0,685.0,691.799988,632.93457,726870
2016-08-01,694.849976,696.349976,682.599976,686.900024,628.45166,347573
2016-08-02,685.049988,690.0,682.5,683.650024,625.478271,268056
2016-08-03,685.0,688.0,677.700012,680.0,622.138733,116318
2016-08-04,682.049988,684.0,679.099976,681.049988,623.099365,134769
2016-08-05,681.950012,715.0,681.5,697.650024,638.286987,593783
2016-08-08,700.0,708.0,696.299988,700.900024,641.260376,347844
2016-08-09,703.200012,711.0,696.299988,698.299988,638.881714,341932
2016-08-10,699.900024,700.950012,690.0,690.25,631.516663,84904
2016-08-11,691.0,697.0,682.5,684.049988,625.844116,96842
2016-08-12,686.650024,691.099976,683.0,685.200012,626.896301,74615
2016-08-16,685.200012,688.0,681.299988,681.950012,623.922852,64845
2016-08-17,682.099976,691.5,677.200012,678.950012,621.178162,90769
2016-08-18,679.799988,681.849976,674.0,674.950012,617.518616,152898
2016-08-19,675.0,679.900024,662.650024,664.599976,608.049133,222490
2016-08-22,665.950012,667.0,655.0,656.049988,600.226685,132422
2016-08-23,655.099976,661.900024,644.0,645.950012,590.986206,221090
2016-08-24,646.0,649.450012,638.349976,639.849976,585.405029,188676
2016-08-25,640.049988,664.799988,640.049988,653.900024,598.259644,283053
2016-08-26,655.049988,659.900024,646.599976,647.799988,592.67865,86564
2016-08-29,644.5,647.450012,639.799988,640.900024,586.365784,66739
2016-08-30,644.0,659.849976,641.5,651.75,596.292603,141778
2016-08-31,648.549988,660.0,648.549988,652.900024,597.344788,182760
2016-09-01,654.0,655.0,644.049988,645.599976,590.665833,75558
2016-09-02,647.0,652.099976,640.049988,643.950012,589.15625,90488
2016-09-06,645.950012,663.0,645.0,651.549988,596.109497,186480
2016-09-07,653.900024,664.0,652.099976,655.200012,599.449036,142947
2016-09-08,657.0,657.0,645.0,650.299988,594.965942,112310
2016-09-09,650.299988,651.950012,640.799988,643.049988,588.332886,148925
2016-09-12,638.599976,651.0,638.599976,639.75,585.31366,122512
2016-09-14,641.0,648.700012,635.0,636.950012,582.751892,135473
2016-09-15,637.0,641.950012,635.0,635.650024,581.5625,69618
2016-09-16,637.950012,639.950012,634.0,635.0,580.967896,76717
2016-09-19,637.849976,648.0,635.0,640.299988,585.816833,96094
2016-09-20,641.900024,646.299988,637.400024,639.0,584.627441,69882
2016-09-21,641.799988,642.0,638.049988,639.349976,584.947632,41634
2016-09-22,632.549988,646.799988,632.549988,638.5,584.169983,102008
2016-09-23,640.0,648.5,637.0,638.549988,584.215698,136350
2016-09-26,638.5,640.0,636.0,638.200012,583.895569,44285
2016-09-27,639.950012,640.099976,635.0,637.75,583.483765,40845
2016-09-28,637.0,644.5,635.0,638.349976,584.032654,55249
2016-09-29,638.0,639.950012,613.0,614.650024,562.349365,176659
2016-09-30,615.0,622.0,613.5,617.950012,565.368652,86260
2016-10-03,619.950012,627.950012,619.950012,622.900024,569.8974,48049
2016-10-04,623.900024,625.400024,617.0,618.25,565.643188,60276
2016-10-05,619.200012,625.400024,614.5,615.549988,563.172852,115421
2016-10-06,617.799988,619.950012,614.049988,614.75,562.440918,53393
2016-10-07,615.950012,618.700012,611.099976,612.349976,560.245056,44229
2016-10-10,611.099976,615.549988,610.0,611.299988,559.284424,54276
2016-10-13,610.5,613.900024,604.0,605.049988,553.566345,88286
2016-10-14,605.049988,611.950012,605.049988,609.049988,557.225952,116210
2016-10-17,605.299988,623.700012,605.299988,618.799988,566.146301,71527
2016-10-18,619.950012,623.0,618.150024,621.650024,568.753845,58766
2016-10-19,622.049988,626.349976,620.5,622.299988,569.348511,56797
2016-10-20,622.299988,627.0,622.299988,624.200012,571.086792,34073
2016-10-21,622.200012,626.0,622.049988,623.599976,570.537781,43074
2016-10-24,623.950012,628.700012,621.049988,626.450012,573.145325,32897
2016-10-25,627.900024,656.0,622.5,649.25,594.00531,154266
2016-10-26,649.799988,655.0,648.0,650.25,594.920227,78843
2016-10-27,650.0,650.0,643.5,647.049988,591.992554,40774
2016-10-28,646.5,653.5,645.5,647.650024,592.541443,51873
2016-11-01,649.799988,649.799988,644.049988,645.099976,590.208374,22450
2016-11-02,644.5,645.049988,636.599976,638.049988,583.758179,43871
2016-11-03,638.0,643.599976,629.950012,632.349976,578.543274,51299
2016-11-04,633.0,633.0,625.0,625.950012,572.687988,25061
2016-11-07,627.950012,633.950012,625.0,627.5,574.106079,24451
2016-11-08,627.5,633.599976,627.5,631.299988,577.582581,23470
2016-11-09,610.0,635.0,600.0,627.75,574.334778,60189
2016-11-10,632.0,640.599976,630.0,631.299988,577.582581,35377
2016-11-11,602.200012,624.0,602.200012,620.150024,567.38147,25009
2016-11-15,618.799988,618.799988,601.799988,603.650024,552.2854,43648
2016-11-16,607.0,625.0,604.950012,610.650024,558.689697,22818
2016-11-17,616.0,616.0,605.0,608.950012,563.455139,16698
2016-11-18,611.900024,612.049988,605.799988,608.049988,562.622192,27527
2016-11-21,608.049988,611.0,598.799988,600.5,555.636353,59932
2016-11-22,603.0,605.0,598.0,601.150024,556.237854,35265
2016-11-23,605.0,608.0,601.0,605.200012,559.985229,39071
2016-11-24,610.0,610.0,601.900024,605.200012,559.985229,33135
2016-11-25,605.200012,623.0,605.200012,620.099976,573.771912,48951
2016-11-28,620.0,623.0,615.0,621.400024,574.974976,15063
2016-11-29,621.799988,635.0,621.75,631.900024,584.69043,32418
2016-11-30,638.799988,649.900024,630.0,643.799988,595.701294,72517
2016-12-01,644.0,651.950012,638.799988,650.0,601.43811,56649
2016-12-02,649.0,651.099976,637.799988,650.0,601.43811,57125
2016-12-05,642.0,651.0,640.599976,647.25,598.893555,73799
2016-12-06,650.0,651.0,635.0,646.0,597.736938,19963
