Date,Open,High,Low,Close,Adj Close,Volume
2001-09-10,7.5,8.43,7.25,8.055,6.63254,320210.0
2001-09-11,8.225,8.39,7.775,7.81,6.430805,175410.0
2001-09-12,7.235,7.5,7.235,7.365,6.06439,80530.0
2001-09-13,7.4,7.5,7.255,7.395,6.089092,78400.0
2001-09-14,6.905,7.08,6.885,6.885,5.669155,60780.0
2001-09-17,6.5,6.5,6.34,6.34,5.220398,135960.0
2001-09-18,6.35,6.81,6.35,6.54,5.38508,71170.0
2001-09-19,6.7,6.95,6.7,6.85,5.640335,22940.0
2001-09-20,6.995,7.0,6.7,6.865,5.652686,21260.0
2001-09-21,6.425,7.2,6.42,7.005,5.767964,55310.0
2001-09-24,7.28,7.28,7.05,7.115,5.858539,29110.0
2001-09-25,7.3,7.3,6.9,6.915,5.693857,22860.0
2001-09-26,7.3,7.3,6.9,6.92,5.697974,29330.0
2001-09-27,7.04,7.075,6.905,7.005,5.767964,31790.0
2001-09-28,7.01,7.045,6.44,6.47,5.327441,113420.0
2001-10-01,6.61,6.84,6.6,6.745,5.553878,68780.0
2001-10-02,6.745,6.745,6.745,6.745,5.553878,0.0
2001-10-03,6.7,6.9,6.7,6.86,5.64857,35470.0
2001-10-04,6.98,6.98,6.335,6.56,5.401547,88370.0
2001-10-05,6.79,6.8,6.54,6.67,5.492123,39090.0
2001-10-08,6.59,6.7,6.405,6.42,5.286272,52270.0
2001-10-09,6.5,6.54,6.385,6.43,5.294504,50410.0
2001-10-10,6.615,6.615,6.3,6.375,5.249217,143850.0
2001-10-11,6.495,6.495,6.26,6.315,5.199813,198430.0
2001-10-12,6.4,6.4,6.11,6.165,5.076303,102500.0
2001-10-15,6.375,6.38,6.27,6.285,5.175111,99900.0
2001-10-16,6.3,6.445,6.3,6.395,5.265686,172820.0
2001-10-17,6.6,6.6,6.405,6.515,5.364494,113200.0
2001-10-18,6.5,6.55,6.41,6.425,5.290388,91090.0
2001-10-19,6.75,6.75,6.335,6.35,5.228631,88370.0
2001-10-22,6.62,6.7,6.575,6.625,5.455069,159580.0
2001-10-23,6.7,6.84,6.58,6.64,5.46742,167420.0
2001-10-24,6.69,6.9,6.48,6.585,5.422133,174210.0
2001-10-25,6.6,6.61,6.41,6.445,5.306857,57820.0
2001-10-26,6.445,6.445,6.445,6.445,5.306857,0.0
2001-10-29,6.6,6.625,6.46,6.475,5.331559,432490.0
2001-10-30,6.4,6.525,6.315,6.36,5.236867,445970.0
2001-10-31,6.5,6.5,6.26,6.3,5.187461,295170.0
2001-11-01,6.475,6.5,6.305,6.335,5.216282,376880.0
2001-11-02,6.435,6.785,6.355,6.61,5.442718,326620.0
2001-11-05,6.825,7.13,6.825,7.125,5.866773,1424210.0
2001-11-06,7.7,7.7,7.17,7.7,6.340231,1588900.0
2001-11-07,7.98,8.32,7.98,8.32,6.850743,405700.0
2001-11-08,8.7,8.95,8.02,8.795,7.241863,2919050.0
2001-11-09,8.75,9.3,8.445,8.79,7.237744,2193640.0
2001-11-12,9.2,9.45,9.005,9.125,7.513585,912360.0
2001-11-13,9.1,9.185,8.67,8.97,7.385958,415850.0
2001-11-14,9.48,9.59,8.855,9.0,7.410659,756810.0
2001-11-15,9.0,9.0,8.68,8.775,7.225393,779980.0
2001-11-16,8.775,8.775,8.775,8.775,7.225393,0.0
2001-11-19,8.9,9.435,8.68,9.435,7.768841,1569010.0
2001-11-20,9.88,10.1,9.3,9.65,7.945873,1598210.0
2001-11-21,9.475,9.73,9.315,9.345,7.694736,539930.0
2001-11-22,9.3,9.7,9.2,9.265,7.628861,678680.0
2001-11-23,9.4,9.565,8.91,9.3,7.657682,1089270.0
2001-11-26,9.7,10.05,9.5,10.05,8.275235,939570.0
2001-11-27,10.49,10.855,10.275,10.855,8.938078,1600560.0
2001-11-28,10.91,11.0,10.1,10.155,8.361694,1423080.0
2001-11-29,10.25,10.435,9.8,10.165,8.369931,481690.0
2001-11-30,10.165,10.165,10.165,10.165,8.369931,0.0
2001-12-03,10.5,10.955,10.5,10.955,9.02042,1032270.0
2001-12-04,11.005,11.55,11.005,11.37,9.362135,1083090.0
2001-12-05,11.595,12.0,10.94,11.765,9.68738,1539780.0
2001-12-06,11.99,12.0,11.05,11.155,9.185101,916950.0
2001-12-07,11.1,11.685,10.9,11.39,9.378602,706140.0
2001-12-10,12.0,12.315,11.805,12.305,10.132021,1217290.0
2001-12-11,12.935,12.935,11.9,12.04,9.913815,1128840.0
2001-12-12,12.29,12.385,11.675,11.745,9.670911,433010.0
2001-12-13,11.7,11.8,10.865,11.09,9.131579,766680.0
2001-12-14,11.0,11.49,10.6,11.215,9.234505,690170.0
2001-12-17,11.215,11.215,11.215,11.215,9.234505,0.0
2001-12-18,11.3,12.1,10.905,11.38,9.370367,829430.0
2001-12-19,11.3,11.6,10.54,10.565,8.69929,557930.0
2001-12-20,10.49,10.565,9.725,9.875,8.131141,497910.0
2001-12-21,9.3,9.795,9.09,9.09,7.484767,427790.0
2001-12-24,9.2,9.2,8.375,8.97,7.385958,704860.0
2001-12-25,8.97,8.97,8.97,8.97,7.385958,0.0
2001-12-26,9.04,9.43,8.805,8.915,7.340672,366820.0
2001-12-27,8.89,9.0,8.6,8.81,7.254214,157090.0
2001-12-28,9.0,9.2,8.7,9.145,7.530055,252280.0
2001-12-31,9.425,9.77,9.21,9.505,7.82648,1492980.0
2002-01-01,9.705,9.925,9.035,9.125,7.513585,1832540.0
2002-01-02,9.105,9.39,9.01,9.05,7.451831,1224290.0
2002-01-03,9.2,9.325,9.12,9.18,7.558874,683560.0
2002-01-04,9.31,9.47,9.245,9.31,7.665916,1206140.0
2002-01-07,9.63,10.32,9.325,10.075,8.29582,2525780.0
2002-01-08,10.3,10.525,9.825,9.895,8.14761,1851160.0
2002-01-09,11.8,11.8,9.205,9.28,7.641215,1483740.0
2002-01-10,9.47,9.605,9.175,9.415,7.752373,902230.0
2002-01-11,9.42,9.6,9.0,9.185,7.56299,1258430.0
2002-01-14,9.69,11.025,9.69,10.885,8.962781,4819130.0
2002-01-15,11.295,11.525,10.7,10.93,8.999837,6359850.0
2002-01-16,11.08,11.46,10.905,11.025,9.078059,3383490.0
2002-01-17,10.95,12.09,10.8,11.51,9.47741,7889960.0
2002-01-18,11.4,11.475,10.43,10.535,8.674591,4634520.0
2002-01-21,10.6,11.45,10.41,11.2,9.222152,3785180.0
2002-01-22,12.4,12.4,10.8,11.175,9.20157,2429940.0
2002-01-23,11.2,11.35,10.71,10.825,8.913377,1643350.0
2002-01-24,11.18,11.195,10.7,10.815,9.115666,1961870.0
2002-01-25,10.98,11.15,10.73,10.91,9.19574,1491360.0
2002-01-28,11.0,11.0,10.565,10.65,8.976594,1043940.0
2002-01-29,10.77,10.87,10.59,10.625,8.95552,665310.0
2002-01-30,10.65,10.65,10.035,10.32,8.698444,1883470.0
2002-01-31,10.39,10.59,10.31,10.515,8.862805,1250060.0
2002-02-01,10.65,10.74,10.41,10.455,8.81223,1435450.0
2002-02-04,10.5,10.5,10.22,10.275,8.660514,1023930.0
2002-02-05,10.1,10.9,10.1,10.46,8.816446,4317700.0
2002-02-06,10.595,10.85,10.5,10.56,8.900734,3012810.0
2002-02-07,10.65,10.67,10.15,10.24,8.631017,2433000.0
2002-02-08,10.39,10.465,10.165,10.305,8.685803,955390.0
2002-02-11,10.41,10.5,10.21,10.27,8.656301,812300.0
2002-02-12,10.35,10.895,10.265,10.485,8.837518,1820680.0
2002-02-13,10.675,10.865,10.36,10.435,8.795377,1463930.0
2002-02-14,10.595,10.6,10.33,10.44,8.799588,669680.0
2002-02-15,10.425,10.495,10.215,10.285,8.668945,626150.0
2002-02-18,10.11,10.78,10.11,10.6,8.934449,1373310.0
2002-02-19,10.6,11.4,10.535,10.875,9.16624,4496390.0
2002-02-20,10.78,12.25,10.78,11.99,10.106042,7371290.0
2002-02-21,12.45,12.64,11.8,11.925,10.051255,9184040.0
2002-02-22,11.95,12.49,11.69,12.27,10.342048,7087770.0
2002-02-25,12.6,13.58,12.6,13.105,11.045844,12595080.0
2002-02-26,13.4,13.59,12.78,13.02,10.974201,6375960.0
2002-02-27,13.2,13.4,12.51,12.62,10.63705,3042590.0
2002-02-28,12.745,13.005,11.215,11.38,9.591889,3820200.0
2002-03-01,11.49,12.05,11.4,11.94,10.063898,2156980.0
2002-03-04,12.2,12.38,12.045,12.13,10.224044,1635260.0
2002-03-05,12.25,12.6,12.2,12.32,10.384188,1469790.0
2002-03-06,12.5,12.58,12.1,12.15,10.240902,1104060.0
2002-03-07,12.1,12.45,11.965,12.16,10.24933,828820.0
2002-03-08,12.345,12.5,12.005,12.045,10.152398,678080.0
2002-03-11,12.2,12.32,11.88,11.95,10.072327,818940.0
2002-03-12,12.08,12.19,11.52,11.57,9.752035,584690.0
2002-03-13,11.53,11.79,11.5,11.605,9.781536,576140.0
2002-03-14,11.745,12.685,11.635,12.135,10.228258,2781130.0
2002-03-15,12.39,12.39,11.91,12.135,10.228258,1070250.0
2002-03-18,12.285,12.49,12.1,12.165,10.253545,916760.0
2002-03-19,12.3,12.345,11.81,11.88,10.013326,491060.0
2002-03-20,12.0,12.0,11.6,11.685,9.848968,499160.0
2002-03-21,11.75,11.89,11.65,11.715,9.874251,305230.0
2002-03-22,11.75,11.75,11.4,11.44,9.642459,434950.0
2002-03-25,11.44,11.44,11.44,11.44,9.642459,0.0
2002-03-26,11.7,11.7,11.325,11.415,9.621392,280170.0
2002-03-27,11.85,11.85,11.315,11.385,9.596104,331540.0
2002-03-28,11.5,11.79,11.36,11.66,9.827893,634320.0
2002-03-29,11.66,11.66,11.66,11.66,9.827893,0.0
2002-04-01,11.83,11.875,11.65,11.695,9.857396,387560.0
2002-04-02,11.75,12.57,11.725,12.055,10.16083,1555920.0
2002-04-03,12.105,13.1,12.0,12.95,10.9152,5425440.0
