Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,2.74792,2.74792,2.384498,2.631811,1.903272,264319.0
2000-01-04,2.476998,2.693735,2.476998,2.575691,1.862687,257085.0
2000-01-05,2.593107,2.662386,2.49635,2.504864,1.811466,246233.0
2000-01-06,2.566015,2.693735,2.554404,2.586141,1.870244,861817.0
2000-01-07,2.600074,2.635681,2.476998,2.507187,1.813146,574630.0
2000-01-10,2.515701,2.592333,2.515701,2.571434,1.859608,336665.0
2000-01-11,2.542793,2.577626,2.369016,2.387981,1.726939,749939.0
2000-01-12,2.554404,2.577626,2.484739,2.575304,1.862407,299975.0
2000-01-13,2.740179,2.763401,2.616329,2.634133,1.904951,489754.0
2000-01-14,2.593107,2.709217,2.593107,2.650388,1.916706,177763.0
2000-01-17,2.631811,2.631811,2.569886,2.612072,1.888996,210060.0
2000-01-18,2.569886,2.584206,2.515701,2.556339,1.848692,291966.0
2000-01-19,2.554404,2.631811,2.438295,2.602009,1.881719,1109084.0
2000-01-20,2.501381,2.585367,2.446423,2.549373,1.843653,2938007.0
2000-01-21,2.554404,2.588463,2.516475,2.538923,1.836096,9420174.0
2000-01-24,2.554404,2.554404,2.408107,2.466161,1.783477,1780219.0
2000-01-25,2.476998,2.476998,2.377144,2.412751,1.744852,381106.0
2000-01-26,2.412751,2.412751,2.412751,2.412751,1.744852,0.0
2000-01-27,2.391851,2.457647,2.391851,2.430554,1.757727,201534.0
2000-01-28,2.399979,2.445649,2.384111,2.434038,1.760246,200888.0
2000-01-31,2.391851,2.391851,2.246715,2.255616,1.631215,215099.0
2000-02-01,2.314445,2.321412,2.206076,2.2591,1.633735,271942.0
2000-02-02,2.399592,2.399592,2.25252,2.291997,1.657525,507065.0
2000-02-03,2.244779,2.29819,2.229298,2.244779,1.623379,117561.0
2000-02-04,2.253294,2.281934,2.237426,2.271485,1.642691,200371.0
2000-02-07,2.175114,2.237039,2.113576,2.163503,1.564601,242487.0
