Date,Open,High,Low,Close,Adj Close,Volume
2002-07-01,5.2,5.27,5.1325,5.2625,3.689817,5700.0
2002-07-02,5.25,5.5875,5.2275,5.515,3.866858,23320.0
2002-07-03,5.5225,5.7125,5.4875,5.5425,3.886139,26820.0
2002-07-04,5.7025,5.725,5.575,5.61,3.933468,11580.0
2002-07-05,5.625,5.775,5.6,5.73,4.017606,13920.0
2002-07-08,5.8,6.0,5.75,5.9375,4.163095,20340.0
2002-07-09,5.875,6.0025,5.75,5.87,4.115767,25560.0
2002-07-10,5.95,5.95,5.675,5.685,3.986054,6420.0
2002-07-11,5.925,5.925,5.575,5.64,3.954504,6120.0
2002-07-12,5.3775,5.625,5.3775,5.5875,3.917691,4320.0
2002-07-15,5.555,5.555,5.375,5.3925,3.780967,2980.0
2002-07-16,5.375,5.49,5.375,5.4375,3.812519,2360.0
2002-07-17,5.3775,5.3825,5.25,5.27,3.695076,8500.0
2002-07-18,5.25,5.425,5.25,5.385,3.775709,7020.0
2002-07-19,5.4,5.525,5.4,5.49,3.849329,2340.0
2002-07-22,5.3,5.375,5.225,5.245,3.677548,5400.0
2002-07-23,5.175,5.7,5.175,5.5925,3.921198,12720.0
2002-07-24,5.5525,5.8,5.5325,5.7175,4.008842,21640.0
2002-07-25,5.75,5.87,5.625,5.6825,3.984301,15400.0
2002-07-26,5.675,5.675,5.275,5.33,3.737144,9620.0
2002-07-29,5.225,5.3875,5.2,5.29,3.7091,5860.0
2002-07-30,5.4,5.4,5.2075,5.285,3.705593,8360.0
2002-07-31,5.25,5.375,5.2,5.36,3.758179,4280.0
2002-08-01,5.35,5.4675,5.35,5.3675,3.763438,10560.0
2002-08-02,5.265,5.475,5.265,5.4375,3.812519,4580.0
2002-08-05,5.5,5.5375,5.375,5.45,3.821283,20160.0
2002-08-06,5.475,5.645,5.475,5.6075,3.931713,9660.0
2002-08-07,5.6325,5.715,5.5825,5.65,3.961514,5440.0
2002-08-08,5.6,5.6975,5.6,5.6625,3.970278,6300.0
2002-08-09,5.6,5.665,5.6,5.655,3.965019,2440.0
2002-08-12,5.6625,5.6975,5.65,5.6875,3.987807,2240.0
2002-08-13,5.625,5.825,5.615,5.7825,4.054417,3820.0
2002-08-14,5.825,5.85,5.7025,5.8025,4.06844,2140.0
2002-08-15,5.8025,5.8025,5.8025,5.8025,4.06844,0.0
2002-08-16,5.75,5.8,5.7125,5.75,4.031629,2840.0
2002-08-19,5.8,5.825,5.7775,5.7825,4.054417,1480.0
2002-08-20,5.7225,5.75,5.6575,5.705,4.25779,5920.0
2002-08-21,5.725,5.725,5.62,5.6375,4.207413,1060.0
2002-08-22,5.6375,5.685,5.6025,5.605,4.183158,1220.0
2002-08-23,5.5775,5.65,5.5775,5.6425,4.211144,2040.0
2002-08-26,5.7475,5.7475,5.65,5.6525,4.218608,3760.0
2002-08-27,5.6275,5.72,5.6275,5.675,4.235401,1380.0
2002-08-28,5.65,5.7225,5.65,5.69,4.246595,1820.0
2002-08-29,5.65,5.735,5.65,5.71,4.261522,3660.0
2002-08-30,5.65,5.7,5.65,5.6875,4.24473,2420.0
2002-09-02,5.675,5.725,5.67,5.715,4.265254,1800.0
2002-09-03,5.6275,5.6275,5.55,5.555,4.145842,1660.0
2002-09-04,5.625,5.625,5.5625,5.625,4.198084,580.0
2002-09-05,5.6,5.65,5.5325,5.6175,4.192486,1780.0
2002-09-06,5.5325,5.675,5.5,5.5575,4.147707,21560.0
2002-09-09,5.5025,5.6225,5.4775,5.5525,4.143976,4200.0
2002-09-10,5.5525,5.5525,5.5525,5.5525,4.143976,0.0
2002-09-11,5.4775,5.55,5.4775,5.535,4.130913,2200.0
