Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,52.299999,54.494999,51.5,54.494999,44.049095,5868160.0
2000-01-04,55.0,56.48,52.099998,54.654999,44.178429,5128620.0
2000-01-05,50.5,55.189999,50.5,52.25,42.234436,2141030.0
2000-01-06,51.700001,55.099998,50.535,53.0,42.840664,2027820.0
2000-01-07,51.630001,53.5,48.759998,48.779999,39.429573,924060.0
2000-01-10,49.900002,50.900002,47.599998,47.889999,38.710178,623230.0
2000-01-11,48.400002,48.400002,44.060001,44.98,36.357983,1436470.0
2000-01-12,45.75,47.5,45.5,46.445,37.542171,659600.0
2000-01-13,46.509998,48.5,46.0,47.825001,38.657642,961700.0
2000-01-14,48.299999,48.880001,46.099998,46.424999,37.526005,686220.0
2000-01-17,47.990002,48.0,46.0,46.715,37.760414,527440.0
2000-01-18,45.799999,46.700001,45.5,45.889999,37.093555,717920.0
2000-01-19,47.0,47.895,46.5,47.224998,38.172649,534520.0
2000-01-20,47.900002,47.900002,46.200001,46.330002,37.449211,467190.0
2000-01-21,46.294998,46.5,45.5,45.674999,36.919762,574900.0
2000-01-24,45.810001,46.200001,44.709999,44.950001,36.333733,323620.0
2000-01-25,44.150002,47.0,43.98,46.375,37.485596,956570.0
2000-01-26,46.375,46.375,46.375,46.375,37.485596,0.0
2000-01-27,47.599998,50.084999,47.599998,49.900002,40.334892,2270820.0
2000-01-28,50.200001,50.994999,47.105,48.025002,38.819309,1685710.0
2000-01-31,47.5,48.0,44.185001,44.235001,35.755795,917350.0
2000-02-01,43.599998,45.400002,43.119999,44.634998,36.079121,1258280.0
2000-02-02,46.494999,46.494999,44.799999,45.165001,36.50753,625690.0
2000-02-03,45.290001,45.494999,44.400002,44.735001,36.159939,300660.0
2000-02-04,45.099998,45.099998,42.400002,42.705002,34.51907,619540.0
2000-02-07,42.700001,43.485001,41.115002,42.915001,34.688828,483770.0
2000-02-08,42.305,43.174999,41.799999,41.994999,33.945164,740050.0
2000-02-09,43.985001,43.985001,41.900002,42.040001,33.981537,578300.0
2000-02-10,42.105,45.404999,41.599998,45.404999,36.701519,1152410.0
2000-02-11,46.799999,46.799999,42.400002,43.365002,35.052555,1066280.0
2000-02-14,42.459999,43.200001,41.525002,41.755001,33.751179,579930.0
2000-02-15,41.099998,41.799999,38.555,40.115002,32.425549,1114110.0
2000-02-16,40.5,41.685001,40.0,40.27,32.550827,622200.0
2000-02-17,41.099998,43.490002,40.5,42.794998,34.591816,727370.0
2000-02-18,42.700001,42.939999,40.5,41.095001,33.217693,653420.0
2000-02-21,41.0,41.5,39.0,41.09,33.213642,827160.0
2000-02-22,40.93,41.200001,39.0,39.310001,31.774836,788700.0
2000-02-23,40.900002,41.400002,39.299999,39.889999,32.24366,267120.0
2000-02-24,40.299999,40.299999,38.5,39.880001,32.23558,334050.0
2000-02-25,39.599998,41.895,39.5,40.974998,33.120682,395010.0
2000-02-28,40.5,44.255001,40.325001,43.775002,35.383968,620530.0
2000-02-29,44.0,44.18,40.290001,41.259998,33.351063,763050.0
2000-03-01,40.5,43.0,39.299999,42.27,34.167446,442330.0
2000-03-02,42.799999,44.400002,40.16,40.814999,32.991356,546750.0
2000-03-03,40.080002,40.700001,37.615002,37.855,30.59874,367170.0
2000-03-06,38.099998,40.884998,38.099998,40.445,32.692276,630180.0
2000-03-07,41.299999,41.299999,37.5,38.564999,31.172646,581770.0
2000-03-08,40.700001,40.700001,37.5,38.09,30.788702,199570.0
2000-03-09,37.099998,38.764999,35.044998,35.220001,28.468834,186900.0
2000-03-10,35.200001,35.700001,32.459999,32.75,26.472298,354340.0
2000-03-13,32.299999,33.0,30.799999,30.945,25.013292,302260.0
2000-03-14,29.9,31.0,28.469999,28.66,23.166294,571180.0
2000-03-15,29.99,30.85,28.9,30.625,24.754635,296990.0
2000-03-16,30.4,30.700001,29.1,30.17,24.386847,302740.0
2000-03-17,30.17,30.17,30.17,30.17,24.386847,0.0
2000-03-20,30.17,30.17,30.17,30.17,24.386847,0.0
2000-03-21,31.1,32.580002,29.155001,31.125,25.158789,668290.0
2000-03-22,32.5,32.599998,30.799999,31.084999,25.126457,292900.0
2000-03-23,31.049999,31.049999,28.700001,28.99,23.433037,242050.0
2000-03-24,29.475,29.5,28.299999,29.15,23.562366,163380.0
2000-03-27,28.764999,29.475,28.764999,29.084999,23.509823,213850.0
2000-03-28,28.514999,28.9,28.004999,28.434999,22.984426,269520.0
2000-03-29,29.5,29.5,28.299999,28.525,23.057173,126600.0
2000-03-30,28.389999,28.875,27.705,28.440001,22.988464,79090.0
2000-03-31,28.1,29.35,27.0,28.379999,22.93997,215240.0
2000-04-03,28.5,30.225,28.5,29.834999,24.116062,407300.0
2000-04-04,27.5,30.200001,27.450001,27.52,22.24482,590080.0
2000-04-05,28.5,29.4,28.0,28.700001,23.198626,272400.0
2000-04-06,28.99,29.700001,27.0,27.875,22.531769,317990.0
2000-04-07,28.375,30.105,28.375,30.105,24.334307,327020.0
2000-04-10,32.400002,32.514999,30.6,32.139999,25.979239,564680.0
2000-04-11,31.6,32.0,29.799999,31.245001,25.255791,233870.0
2000-04-12,31.594999,31.594999,30.445,30.690001,24.807171,213630.0
2000-04-13,29.110001,29.799999,28.5,29.434999,23.79274,182000.0
2000-04-14,29.434999,29.434999,29.434999,29.434999,23.79274,0.0
2000-04-17,27.309999,31.4,27.08,30.184999,24.398977,509530.0
2000-04-18,31.700001,31.700001,30.135,30.455,24.617214,360420.0
2000-04-19,31.200001,31.49,29.27,29.66,23.974607,360760.0
2000-04-20,28.85,29.200001,27.299999,28.34,22.907639,224120.0
2000-04-21,28.34,28.34,28.34,28.34,22.907639,0.0
2000-04-24,28.5,28.895,27.309999,27.645,22.345856,112720.0
2000-04-25,27.105,27.6,25.715,27.02,21.840662,177320.0
2000-04-26,28.5,29.184999,27.815001,29.184999,23.59066,255700.0
2000-04-27,28.655001,30.9,28.5,29.945,24.204981,774710.0
2000-04-28,29.790001,31.200001,29.5,30.844999,24.932467,493060.0
2000-05-01,30.844999,30.844999,30.844999,30.844999,24.932467,0.0
2000-05-02,31.799999,32.200001,29.805,30.110001,24.33835,567680.0
2000-05-03,30.4,30.785,28.610001,30.01,24.257519,266580.0
2000-05-04,29.610001,31.195,28.049999,30.775,24.875883,282930.0
2000-05-05,30.799999,33.700001,30.4,33.084999,26.743088,1763240.0
2000-05-08,33.200001,33.580002,31.1,31.379999,25.364906,641360.0
2000-05-09,30.799999,31.27,30.355,30.67,24.791012,733480.0
2000-05-10,31.0,31.799999,30.01,30.129999,24.354517,427760.0
2000-05-11,30.299999,30.299999,28.200001,28.450001,22.996548,350830.0
2000-05-12,28.9,28.9,27.105,27.485001,22.216524,401370.0
2000-05-15,27.299999,28.4,26.01,27.754999,22.434774,217170.0
2000-05-16,27.200001,28.045,26.615,27.07,21.881073,491300.0
2000-05-17,28.545,28.545,26.950001,27.16,21.953819,348930.0
2000-05-18,27.15,27.5,26.75,27.129999,21.929569,112860.0
2000-05-19,26.9,27.195,26.225,26.43,21.36375,165010.0
2000-05-22,25.73,26.200001,25.355,25.535,20.640312,140970.0
