Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,7.3,7.8225,7.3,7.785,7.012889,460000.0
2000-01-04,7.6,7.6,7.2,7.37,6.639049,526000.0
2000-01-05,7.2,7.44,6.8,6.92,6.233679,412000.0
2000-01-06,7.1,7.475,7.05,7.475,6.733634,632000.0
2000-01-07,7.475,7.65,7.25,7.3175,6.591756,732000.0
2000-01-10,7.5,7.5,7.0525,7.245,6.526445,662000.0
2000-01-11,6.9,7.335,6.855,7.05,6.350786,1512000.0
2000-01-12,7.595,7.615,7.275,7.395,6.661569,394220.0
2000-01-13,7.575,7.85,7.315,7.4425,6.704359,1255540.0
2000-01-14,7.5,7.5,7.1525,7.225,6.50843,286640.0
2000-01-17,7.15,7.525,7.09,7.1875,6.474649,158940.0
2000-01-18,7.1025,7.24,6.7875,6.96,6.269712,713660.0
2000-01-19,7.13,7.25,7.0,7.1075,6.402583,457520.0
2000-01-20,7.125,7.125,6.895,7.055,6.355289,397380.0
2000-01-21,6.95,7.0475,6.8575,6.9425,6.253948,265400.0
2000-01-24,6.955,7.15,6.95,7.0025,6.307997,209020.0
2000-01-25,7.0,7.02,6.835,6.885,6.202152,179660.0
2000-01-26,6.885,6.885,6.885,6.885,6.202152,0.0
2000-01-27,7.0,7.245,6.825,6.935,6.247191,82180.0
2000-01-28,6.75,6.9,6.745,6.81,6.13459,167980.0
2000-01-31,6.6,6.895,6.6,6.8025,6.127832,271120.0
2000-02-01,6.55,7.1925,6.26,6.7375,6.069281,120760.0
2000-02-02,6.8475,6.8475,6.35,6.455,5.814797,156360.0
2000-02-03,6.35,6.475,6.25,6.2775,5.654902,124360.0
2000-02-04,6.435,6.435,6.0,6.185,5.571576,105500.0
2000-02-07,6.35,6.35,5.69,5.7,5.134677,156360.0
2000-02-08,5.35,6.0,5.35,5.905,5.319346,195280.0
2000-02-09,5.995,6.17,5.75,5.875,5.292321,273220.0
2000-02-10,5.95,6.045,5.8,5.855,5.274306,170900.0
2000-02-11,5.8,5.8,5.4,5.435,4.89596,311120.0
2000-02-14,5.22,5.3475,5.1,5.1025,4.596438,103220.0
2000-02-15,5.1,5.35,5.0,5.1025,4.596438,287280.0
2000-02-16,5.25,5.39,5.155,5.2,4.684267,130680.0
2000-02-17,5.2975,5.54,5.21,5.4975,4.952261,176120.0
2000-02-18,5.37,5.5,5.265,5.3375,4.808129,82820.0
2000-02-21,5.1,5.485,5.1,5.3225,4.794618,159540.0
2000-02-22,5.25,5.4,5.25,5.3625,4.830651,214900.0
2000-02-23,5.2525,5.425,5.2525,5.425,4.886953,56140.0
2000-02-24,5.25,5.4,5.25,5.3525,4.821644,31240.0
2000-02-25,5.3875,5.3875,5.0,5.13,4.62121,60420.0
2000-02-28,5.05,5.15,5.025,5.1475,4.636974,154560.0
2000-02-29,5.055,5.4475,5.0,5.055,4.553648,88200.0
2000-03-01,5.13,5.2,5.0,5.0825,4.578422,39320.0
2000-03-02,5.1475,5.25,4.8,4.81,4.332947,421080.0
2000-03-03,4.7975,4.7975,4.425,4.47,4.02667,75300.0
2000-03-06,4.55,4.71,4.2275,4.38,3.945595,310480.0
2000-03-07,4.325,4.45,4.055,4.26,3.837496,91580.0
2000-03-08,4.385,4.385,3.925,4.0,3.603283,69280.0
2000-03-09,4.0,4.0,3.685,3.7025,3.335289,61720.0
2000-03-10,3.5775,3.7975,3.45,3.6225,3.263223,163840.0
2000-03-13,3.6,3.75,3.5025,3.725,3.355558,89300.0
2000-03-14,3.7525,4.025,3.7525,4.025,3.625803,116000.0
2000-03-15,4.3,4.3475,4.25,4.3475,3.916318,112980.0
2000-03-16,4.6925,4.6975,4.4025,4.55,4.098734,401420.0
2000-03-17,4.55,4.55,4.55,4.55,4.098734,0.0
2000-03-20,4.55,4.55,4.55,4.55,4.098734,0.0
2000-03-21,4.6,4.675,4.45,4.52,4.07171,448720.0
2000-03-22,4.8475,4.8475,4.575,4.81,4.332947,169180.0
2000-03-23,5.015,5.015,4.7525,4.905,4.418525,171460.0
2000-03-24,4.8,4.805,4.665,4.725,4.256378,206760.0
2000-03-27,4.945,4.945,4.375,4.43,3.990636,201900.0
2000-03-28,4.425,4.4975,4.3025,4.4225,3.98388,202580.0
2000-03-29,4.5,4.685,4.4,4.405,3.968115,193080.0
2000-03-30,4.315,4.5,4.3125,4.4775,4.033425,263800.0
2000-03-31,4.205,4.5,4.205,4.495,4.04919,134820.0
2000-04-03,4.55,4.5875,4.4125,4.5,4.053693,133060.0
2000-04-04,4.4,4.4,4.14,4.2575,3.835245,383380.0
2000-04-05,4.25,4.4475,4.15,4.1775,3.763178,186100.0
2000-04-06,4.2625,4.2625,3.845,3.8575,3.474916,203500.0
2000-04-07,4.095,4.1675,3.925,4.1675,3.75417,229360.0
2000-04-10,4.4,4.45,4.055,4.18,3.765429,420440.0
2000-04-11,3.875,4.2,3.875,4.19,3.774439,74700.0
2000-04-12,4.125,4.245,4.1,4.1175,3.709129,106780.0
2000-04-13,3.85,4.2,3.85,4.075,3.670844,298080.0
2000-04-14,4.075,4.075,4.075,4.075,3.670844,0.0
2000-04-17,3.9075,4.175,3.9075,4.1575,3.745162,125460.0
2000-04-18,4.15,4.225,4.05,4.0725,3.668592,102020.0
2000-04-19,4.15,4.15,4.055,4.0875,3.682104,52440.0
2000-04-20,3.9625,4.1,3.9625,4.025,3.625803,136240.0
2000-04-21,4.025,4.025,4.025,4.025,3.625803,0.0
2000-04-24,3.9025,3.9475,3.705,3.76,3.387086,204700.0
2000-04-25,3.6,3.7,3.5,3.5375,3.186653,237360.0
2000-04-26,3.75,3.82,3.7,3.8,3.423119,141560.0
2000-04-27,3.805,3.85,3.65,3.6575,3.294752,180560.0
2000-04-28,3.6525,3.6525,3.45,3.4975,3.15062,205640.0
2000-05-01,3.4975,3.4975,3.4975,3.4975,3.15062,0.0
2000-05-02,3.475,3.475,3.3,3.41,3.071799,166520.0
2000-05-03,3.4,3.55,3.35,3.5,3.152873,91480.0
2000-05-04,3.5,3.55,3.45,3.49,3.143865,106100.0
2000-05-05,3.5,3.5,3.4,3.4475,3.105579,135080.0
2000-05-08,3.45,3.4625,3.25,3.28,2.954692,251680.0
2000-05-09,3.25,3.395,3.065,3.275,2.950188,126880.0
2000-05-10,3.3975,3.45,3.1,3.125,2.815065,549920.0
2000-05-11,3.05,3.1975,3.0,3.0225,2.72273,361900.0
2000-05-12,3.1,3.1275,3.05,3.055,2.752007,122500.0
2000-05-15,3.1,3.1,2.9,2.98,2.684446,129940.0
2000-05-16,3.0,3.05,2.95,2.9925,2.695706,140520.0
2000-05-17,3.1475,3.225,3.05,3.13,2.819568,245940.0
2000-05-18,3.1,3.2,3.1,3.14,2.828577,104340.0
2000-05-19,3.1875,3.195,2.95,2.985,2.68895,232780.0
2000-05-22,3.0,3.05,2.8875,2.9925,2.695706,163120.0
2000-05-23,3.0,3.05,2.9625,3.0025,2.704714,138480.0
2000-05-24,3.0875,3.195,3.0525,3.15,2.837585,75580.0
2000-05-25,3.225,3.3875,3.2,3.315,2.986221,170220.0
2000-05-26,3.35,3.425,3.295,3.4,3.06279,192700.0
2000-05-29,3.4,3.4975,3.4,3.4525,3.110084,98000.0
2000-05-30,3.5,3.625,3.4025,3.5775,3.222686,118400.0
2000-05-31,3.75,3.805,3.65,3.6975,3.330784,324780.0
2000-06-01,3.6,3.645,3.4025,3.4875,3.141612,193400.0
2000-06-02,3.35,3.625,3.35,3.535,3.184401,90040.0
2000-06-05,3.45,3.6625,3.45,3.5375,3.186653,74400.0
2000-06-06,3.5225,3.54,3.4,3.425,3.08531,133980.0
2000-06-07,3.5,3.5,3.405,3.4625,3.119092,117740.0
2000-06-08,3.4,3.4925,3.4,3.45,3.107832,78620.0
2000-06-09,3.4525,3.5,3.305,3.395,3.058286,76920.0
2000-06-12,3.4,3.42,3.2575,3.39,3.053782,117300.0
2000-06-13,3.3875,3.3875,3.275,3.3425,3.010994,71700.0
2000-06-14,3.45,3.515,3.4275,3.4475,3.105579,123880.0
2000-06-15,3.4,3.525,3.38,3.38,3.044775,90680.0
2000-06-16,3.4375,3.4375,3.25,3.365,3.031261,189240.0
2000-06-19,3.21,3.6225,3.21,3.585,3.229442,234600.0
2000-06-20,3.51,3.695,3.51,3.5825,3.22719,212700.0
2000-06-21,3.6,3.675,3.45,3.48,3.134856,166840.0
2000-06-22,3.545,3.545,3.4,3.4925,3.146116,89640.0
2000-06-23,3.4975,3.675,3.415,3.4975,3.15062,100880.0
2000-06-26,3.4,3.4875,3.375,3.42,3.080807,47120.0
2000-06-27,3.4875,3.5,3.325,3.3625,3.029009,188760.0
2000-06-28,3.375,3.4225,3.375,3.3975,3.060539,42220.0
2000-06-29,3.445,3.4475,3.3175,3.345,3.013246,84260.0
2000-06-30,3.3,3.35,3.2525,3.32,2.990724,84280.0
2000-07-03,3.485,3.485,3.25,3.2825,2.956944,69240.0
2000-07-04,3.2325,3.3325,3.2325,3.275,2.950188,76780.0
2000-07-05,3.45,3.525,3.3125,3.365,3.031261,156800.0
2000-07-06,3.3,3.3875,3.3,3.37,3.035766,33140.0
2000-07-07,3.415,3.415,3.3025,3.35,3.01775,82820.0
2000-07-10,3.33,3.4,3.33,3.345,3.013246,101000.0
2000-07-11,3.3125,3.4,3.3025,3.335,3.004237,343600.0
2000-07-12,3.45,3.5025,3.425,3.455,3.112335,196820.0
2000-07-13,3.4,3.5,3.4,3.4375,3.096571,117160.0
2000-07-14,3.42,3.455,3.36,3.385,3.049278,119180.0
2000-07-17,3.2575,3.6125,3.2575,3.59,3.233946,228440.0
2000-07-18,3.6,3.675,3.5575,3.645,3.283491,356780.0
2000-07-19,3.75,3.75,3.515,3.525,3.175393,141620.0
2000-07-20,3.365,3.55,3.365,3.45,3.107832,48740.0
2000-07-21,3.495,3.5,3.4,3.42,3.080807,65120.0
2000-07-24,3.3275,3.4,3.25,3.2725,2.947936,125080.0
2000-07-25,3.25,3.4,3.1625,3.3175,2.988473,168720.0
2000-07-26,3.325,3.38,3.32,3.325,2.995229,29380.0
2000-07-27,3.2525,3.385,3.2525,3.31,2.981717,19620.0
2000-07-28,3.3,3.3,3.05,3.0675,2.763268,332420.0
2000-07-31,3.075,3.075,2.94,2.9475,2.655169,259640.0
2000-08-01,2.95,2.95,2.75,2.7975,2.520046,531000.0
2000-08-02,2.85,2.89,2.5,2.6225,2.362402,1862540.0
2000-08-03,2.6325,2.6375,2.425,2.5775,2.321866,1650240.0
2000-08-04,2.55,2.59,2.525,2.545,2.292588,397500.0
2000-08-07,2.5,2.575,2.5,2.5625,2.308353,184560.0
2000-08-08,2.545,2.58,2.475,2.495,2.247547,361200.0
2000-08-09,2.56,2.67,2.56,2.64,2.378167,86060.0
2000-08-10,2.6875,2.6875,2.6,2.6025,2.344386,104900.0
2000-08-11,2.5875,2.625,2.575,2.5825,2.32637,92900.0
2000-08-14,2.525,2.6,2.525,2.56,2.306101,75320.0
2000-08-15,2.56,2.56,2.56,2.56,2.306101,0.0
2000-08-16,2.6375,2.7375,2.6,2.6475,2.384923,60580.0
2000-08-17,2.63,2.695,2.555,2.6425,2.380418,50480.0
2000-08-18,2.6425,2.6675,2.6,2.6275,2.366906,68600.0
2000-08-21,2.65,2.7,2.6125,2.6675,2.402939,138400.0
2000-08-22,2.65,2.715,2.6,2.6625,2.398435,87620.0
2000-08-23,2.655,2.825,2.6525,2.7625,2.488517,175980.0
2000-08-24,2.655,2.7875,2.655,2.7625,2.488517,71540.0
2000-08-25,2.7925,2.8,2.7,2.7375,2.465997,132240.0
2000-08-28,2.7875,2.83,2.7875,2.8125,2.533558,125680.0
2000-08-29,2.8375,2.8975,2.8025,2.8425,2.560582,130780.0
2000-08-30,2.815,2.9425,2.815,2.8625,2.578599,141680.0
2000-08-31,2.8925,3.0925,2.8575,3.005,2.706966,1170620.0
2000-09-01,3.005,3.005,3.005,3.005,2.706966,0.0
2000-09-04,3.0,3.005,2.85,2.8925,2.605623,527480.0
2000-09-05,2.885,2.96,2.85,2.91,2.621388,369440.0
2000-09-06,2.9875,2.9875,2.9,2.9175,2.628144,213020.0
2000-09-07,3.0,3.045,2.9,2.96,2.666429,334280.0
2000-09-08,3.0,3.025,2.9375,2.9975,2.70021,293420.0
2000-09-11,3.0,3.02,2.94,2.96,2.666429,147240.0
2000-09-12,2.95,2.97,2.9,2.9275,2.637153,141760.0
2000-09-13,3.0,3.0,2.8625,2.9,2.612381,84960.0
2000-09-14,2.85,2.9,2.805,2.805,2.526803,137640.0
2000-09-15,2.8875,2.89,2.75,2.76,2.486265,149940.0
2000-09-18,2.6125,2.75,2.6075,2.6825,2.416451,120120.0
2000-09-19,2.665,2.73,2.6,2.625,2.364654,257400.0
2000-09-20,2.6575,2.7225,2.6575,2.6975,2.429964,63160.0
2000-09-21,2.7,2.74,2.665,2.7,2.432216,76420.0
2000-09-22,2.695,2.695,2.6125,2.62,2.360149,130020.0
2000-09-25,2.65,2.6975,2.6125,2.665,2.400687,74820.0
2000-09-26,2.645,2.67,2.605,2.635,2.373662,59480.0
2000-09-27,2.65,2.675,2.5775,2.6125,2.353394,50020.0
