Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,2.775,2.90875,2.7,2.90875,1.179483,814840.0
2000-01-04,2.84375,2.9,2.7,2.8675,1.162756,894640.0
2000-01-05,2.68875,2.89625,2.68875,2.85,1.15566,732200.0
2000-01-06,2.8,3.0775,2.8,2.9825,1.209388,1032000.0
2000-01-07,2.99625,3.0,2.85125,2.9125,1.181004,694440.0
2000-01-10,3.0125,3.02125,2.9,2.975,1.206347,828280.0
2000-01-11,2.95,2.955,2.83375,2.86375,1.161236,825920.0
2000-01-12,2.8875,2.935,2.86625,2.88625,1.170359,199800.0
2000-01-13,2.80625,2.8975,2.8025,2.8775,1.166812,636440.0
2000-01-14,2.83875,2.85,2.78375,2.8475,1.154647,148880.0
2000-01-17,2.85125,2.9375,2.85125,2.88875,1.171374,314200.0
2000-01-18,2.78875,2.88125,2.78875,2.85125,1.156167,483800.0
2000-01-19,2.975,2.975,2.875,2.935,1.190128,155000.0
2000-01-20,2.85,2.925,2.85,2.91,1.17999,226240.0
2000-01-21,2.88625,2.90625,2.8125,2.855,1.157688,251800.0
2000-01-24,2.7525,2.87375,2.7525,2.8,1.135386,165560.0
2000-01-25,2.7525,2.76125,2.67875,2.68875,1.090275,315960.0
2000-01-26,2.68875,2.68875,2.68875,2.68875,1.090275,0.0
2000-01-27,2.5,2.775,2.5,2.705,1.096864,136160.0
2000-01-28,2.75,2.75,2.625,2.64375,1.072027,497680.0
2000-01-31,2.65,2.65,2.4325,2.4325,0.986367,419680.0
2000-02-01,2.275,2.48125,2.275,2.44625,0.991942,365080.0
2000-02-02,2.4975,2.5725,2.42625,2.50625,1.016272,290840.0
2000-02-03,2.6225,2.625,2.5,2.52375,1.023368,232760.0
2000-02-04,2.4875,2.54625,2.43125,2.4325,0.986367,311640.0
2000-02-07,2.37625,2.41625,2.35375,2.375,0.96305,283400.0
2000-02-08,2.3625,2.375,2.2775,2.3125,0.937707,406080.0
2000-02-09,2.3275,2.39875,2.27625,2.27625,0.923008,243760.0
2000-02-10,2.2275,2.275,2.20625,2.245,0.910336,334520.0
2000-02-11,2.25,2.25,2.17625,2.1975,0.891075,201880.0
2000-02-14,2.225,2.225,2.06875,2.095,0.849512,269880.0
2000-02-15,2.0575,2.15,2.03375,2.10375,0.85306,389440.0
2000-02-16,2.15,2.225,2.13375,2.16875,0.879417,428000.0
2000-02-17,2.2,2.2,2.05,2.1,0.851539,415800.0
2000-02-18,2.0625,2.0875,1.975,2.0025,0.812004,450520.0
2000-02-21,2.0,2.025,1.92875,1.95375,0.792236,285320.0
2000-02-22,1.925,1.97,1.80625,1.83,0.742056,707280.0
2000-02-23,1.94625,1.94625,1.85,1.865,0.756248,446960.0
2000-02-24,1.8025,1.94875,1.8025,1.86375,0.755741,263400.0
2000-02-25,1.85,1.8675,1.725,1.7475,0.708602,428800.0
2000-02-28,1.68125,1.825,1.67625,1.81125,0.734452,161960.0
2000-02-29,1.85625,1.8725,1.70625,1.75875,0.713164,567000.0
2000-03-01,1.82,1.8425,1.8,1.8275,0.741042,286200.0
2000-03-02,1.75625,1.75625,1.69,1.7,0.689341,420800.0
2000-03-03,1.6525,1.6975,1.60375,1.615,0.654874,406480.0
2000-03-06,1.7225,1.725,1.6125,1.6275,0.659943,568040.0
2000-03-07,1.65,1.65,1.50125,1.5425,0.625476,400840.0
2000-03-08,1.6,1.6,1.5,1.53125,0.620914,480400.0
2000-03-09,1.5875,1.5875,1.5,1.5575,0.631558,276400.0
2000-03-10,1.565,1.565,1.4575,1.505,0.61027,4829800.0
2000-03-13,1.425,1.5025,1.425,1.46,0.592023,322000.0
2000-03-14,1.575,1.5775,1.46625,1.57,0.636627,479800.0
2000-03-15,1.6125,1.69625,1.6125,1.69625,0.687821,131880.0
2000-03-16,1.75,1.825,1.63,1.705,0.691369,606360.0
2000-03-17,1.705,1.705,1.705,1.705,0.691369,0.0
2000-03-20,1.705,1.705,1.705,1.705,0.691369,0.0
2000-03-21,1.7,1.75,1.615,1.6625,0.674135,234840.0
2000-03-22,1.67125,1.67125,1.58875,1.59875,0.648285,265920.0
2000-03-23,1.5875,1.5875,1.5125,1.52375,0.617873,203880.0
2000-03-24,1.5225,1.55,1.4025,1.53125,0.620914,683360.0
2000-03-27,1.53625,1.5975,1.5075,1.57375,0.638148,255240.0
2000-03-28,1.54625,1.54625,1.4875,1.52625,0.618887,520240.0
2000-03-29,1.6,1.61,1.52,1.52875,0.6199,209280.0
2000-03-30,1.565,1.63625,1.55,1.6075,0.651833,268760.0
2000-03-31,1.6225,1.65,1.56375,1.6125,0.653861,404400.0
2000-04-03,1.7375,1.7375,1.64375,1.66875,0.67667,338400.0
2000-04-04,1.575,1.625,1.53625,1.53625,0.622941,606000.0
2000-04-05,1.425,1.62375,1.425,1.585,0.642709,321960.0
2000-04-06,1.6,1.60875,1.475,1.56125,0.633079,479400.0
2000-04-07,1.5875,1.5875,1.5125,1.52375,0.617873,837680.0
2000-04-10,1.6,1.64625,1.57375,1.63125,0.661464,1464720.0
2000-04-11,1.7,1.7,1.57125,1.58125,0.641189,1102840.0
2000-04-12,1.62625,1.6675,1.6025,1.61875,0.656395,2082840.0
2000-04-13,1.6,1.6,1.55625,1.57375,0.653281,658800.0
2000-04-14,1.57375,1.57375,1.57375,1.57375,0.653281,0.0
2000-04-17,1.45375,1.59875,1.45375,1.585,0.657951,299720.0
2000-04-18,1.575,1.59875,1.5525,1.5775,0.654838,237400.0
2000-04-19,1.60625,1.60625,1.50125,1.5325,0.636158,440280.0
2000-04-20,1.55,1.55,1.44125,1.47625,0.612808,372840.0
2000-04-21,1.47625,1.47625,1.47625,1.47625,0.612808,0.0
2000-04-24,1.4875,1.4875,1.405,1.4675,0.609176,225280.0
2000-04-25,1.43125,1.4375,1.37625,1.3975,0.580118,240800.0
2000-04-26,1.46625,1.5,1.42625,1.48375,0.615921,231280.0
2000-04-27,1.475,1.4975,1.41625,1.4475,0.600874,170400.0
2000-04-28,1.3875,1.425,1.3875,1.40375,0.582713,412840.0
2000-05-01,1.40375,1.40375,1.40375,1.40375,0.582713,0.0
2000-05-02,1.3875,1.3875,1.3,1.31375,0.545352,1114040.0
2000-05-03,1.22,1.37375,1.22,1.33125,0.552617,133000.0
2000-05-04,1.4375,1.4375,1.3125,1.345,0.558325,186120.0
2000-05-05,1.3875,1.3975,1.33875,1.3425,0.557287,291560.0
2000-05-08,1.375,1.375,1.3275,1.35125,0.560919,93600.0
2000-05-09,1.31375,1.35,1.31375,1.33,0.552098,267800.0
2000-05-10,1.325,1.3575,1.30625,1.3425,0.557287,115840.0
2000-05-11,1.3025,1.35,1.3025,1.31875,0.547428,146600.0
2000-05-12,1.30125,1.345,1.2525,1.27,0.527191,213920.0
2000-05-15,1.2625,1.3,1.2525,1.295,0.537569,123680.0
2000-05-16,1.25125,1.315,1.25,1.25375,0.520446,214120.0
2000-05-17,1.275,1.31125,1.275,1.3,0.539645,162120.0
2000-05-18,1.315,1.315,1.2175,1.23,0.510587,267800.0
2000-05-19,1.225,1.225,1.1375,1.16125,0.482048,319360.0
2000-05-22,1.125,1.1825,1.075,1.16625,0.484124,245200.0
2000-05-23,1.195,1.2,1.1625,1.1675,0.484642,184080.0
2000-05-24,1.175,1.225,1.175,1.2075,0.501247,315200.0
2000-05-25,1.21875,1.27375,1.18375,1.24125,0.515257,256760.0
2000-05-26,1.30375,1.30375,1.23875,1.27125,0.52771,165040.0
2000-05-29,1.2875,1.3625,1.2875,1.34875,0.559881,323840.0
2000-05-30,1.325,1.365,1.32,1.34875,0.559881,360520.0
2000-05-31,1.425,1.45,1.325,1.35375,0.561957,359440.0
2000-06-01,1.32625,1.375,1.32625,1.36625,0.567146,136200.0
2000-06-02,1.315,1.35,1.275,1.34875,0.559881,228760.0
2000-06-05,1.3625,1.45625,1.3625,1.42375,0.591015,352720.0
